"","X","simu","n_obs","mutation_rate","c","initial_trait_frequency","replicate","male_trait_first","male_trait_last","female_choice_first","female_choice_last","female_preference_last","mean_nb_meetings","nb_meetings_1","nb_matings_1","nb_females_meeting_1","nb_meetings_1_pref_1","nb_meetings_1_pref_0","nb_females_pref1","nb_females_pref0","nb_repro_last","nb_females_meeting1_and_pref1","nb_females_meeting1_and_pref0","nb_matings1_over_nb_meetings1","c_num","conditional_proba_fx","conditional_proba_bis"
"1",NA,1,"0",0,"0.5",0,NA,0,0,0,0,0.5022873517,2.004059014,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"2",NA,2,"1",0,"0.5",0,NA,0,0,0,0,0,2.003501584,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"3",NA,3,"5",0,"0.5",0,NA,0,0,0,0,0,2.002483464,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"4",NA,4,"10",0,"0.5",0,NA,0,0,0,0,0,2.000240357,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"5",NA,5,"15",0,"0.5",0,NA,0,0,0,0,0,2.001544618,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"6",NA,6,"20",0,"0.5",0,NA,0,0,0,0,0,2.002329121,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"7",NA,7,"25",0,"0.5",0,NA,0,0,0,0,0,2.001492453,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"8",NA,8,"30",0,"0.5",0,NA,0,0,0,0,0,2.003107971,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA
"9",NA,9,"0",0,"0.6",0,NA,0,0,0,0,0.499261172,2.081917904,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA
"10",NA,10,"1",0,"0.6",0,NA,0,0,0,0,0,1.665818823,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA
"11",NA,11,"5",0,"0.6",0,NA,0,0,0,0,0,1.665497163,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA
"12",NA,12,"10",0,"0.6",0,NA,0,0,0,0,0,1.670420568,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA
"13",NA,13,"15",0,"0.6",0,NA,0,0,0,0,0,1.667246671,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA
"14",NA,14,"20",0,"0.6",0,NA,0,0,0,0,0,1.667193411,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA
"15",NA,15,"25",0,"0.6",0,NA,0,0,0,0,0,1.662451591,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA
"16",NA,16,"30",0,"0.6",0,NA,0,0,0,0,0,1.666979486,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA
"17",NA,17,"0",0,"0.7",0,NA,0,0,0,0,0.5000349118,2.379473875,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA
"18",NA,18,"1",0,"0.7",0,NA,0,0,0,0,0,1.432688154,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA
"19",NA,19,"5",0,"0.7",0,NA,0,0,0,0,0,1.429839812,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA
"20",NA,20,"10",0,"0.7",0,NA,0,0,0,0,0,1.428178136,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA
"21",NA,21,"15",0,"0.7",0,NA,0,0,0,0,0,1.429487833,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA
"22",NA,22,"20",0,"0.7",0,NA,0,0,0,0,0,1.43149061,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA
"23",NA,23,"25",0,"0.7",0,NA,0,0,0,0,0,1.428850637,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA
"24",NA,24,"30",0,"0.7",0,NA,0,0,0,0,0,1.429016255,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA
"25",NA,25,"0",0,"0.8",0,NA,0,0,0,0,0.4999305709,3.124395062,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA
"26",NA,26,"1",0,"0.8",0,NA,0,0,0,0,0,1.250604517,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA
"27",NA,27,"5",0,"0.8",0,NA,0,0,0,0,0,1.251041563,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA
"28",NA,28,"10",0,"0.8",0,NA,0,0,0,0,0,1.247276244,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA
