;simu;n_obs;mutation_rate;c;initial_trait_frequency;initial_pref_frequency;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration;tradition_for_trait
1;1;7;1;0.5;0.1;0.1;1;2;0.4846939;231;213.5;7;0;0
2;1;7;1;0.5;0.1;0.1;2;2;0.4770642;231;224.5;7;0;0
3;1;7;1;0.5;0.1;0.1;3;4;0.4827586;250;218.25;7;2;0
4;1;7;1;0.5;0.1;0.1;4;3;0.5215517;201;211.3333;7;1;1
5;1;7;1;0.5;0.1;0.1;5;2;0.4611872;226;222.5;7;0;0
6;1;7;1;0.5;0.1;0.1;6;3;0.5634921;215;227.6667;7;1;1
7;1;7;1;0.5;0.1;0.1;7;4;0.4873096;226;218.75;7;2;0
8;1;7;1;0.5;0.1;0.1;8;2;0.5067873;245;233;7;0;1
9;1;7;1;0.5;0.1;0.1;9;3;0.4958678;219;221.3333;7;1;0
10;1;7;1;0.5;0.1;0.1;10;4;0.4933333;244;227;7;2;0
11;1;7;1;0.5;0.1;0.1;11;3;0.5342466;220;215.6667;7;1;1
12;1;7;1;0.5;0.1;0.1;12;3;0.5877193;197;215.3333;7;1;1
13;1;7;1;0.5;0.1;0.1;13;4;0.4878049;226;214.25;7;2;0
14;1;7;1;0.5;0.1;0.1;14;2;0.5023256;240;227.5;7;0;1
15;1;7;1;0.5;0.1;0.1;15;3;0.4932127;225;227.6667;7;1;0
16;1;7;1;0.5;0.1;0.1;16;2;0.4930233;224;219.5;7;0;0
17;1;7;1;0.5;0.1;0.1;17;3;0.5576037;216;213.6667;7;1;1
18;1;7;1;0.5;0.1;0.1;18;3;0.4751131;238;225.3333;7;1;0
19;1;7;1;0.5;0.1;0.1;19;2;0.5848214;248;236;7;0;1
20;1;7;1;0.5;0.1;0.1;20;3;0.4592275;201;211;7;1;0
21;1;7;1;0.5;0.1;0.1;21;2;0.5727273;233;226.5;7;0;1
22;1;7;1;0.5;0.1;0.1;22;5;0.4654378;209;220.2;7;3;0
23;1;7;1;0.5;0.1;0.1;23;2;0.5348837;224;219.5;7;0;1
24;1;7;1;0.5;0.1;0.1;24;2;0.5;244;219;7;0;0
25;1;7;1;0.5;0.1;0.1;25;2;0.4748858;210;214.5;7;0;0
26;1;7;1;0.5;0.1;0.1;26;3;0.4518828;233;228;7;1;0
27;1;7;1;0.5;0.1;0.1;27;3;0.5299539;225;221.6667;7;1;1
28;1;7;1;0.5;0.1;0.1;28;2;0.4590164;230;206.5;7;0;0
29;1;7;1;0.5;0.1;0.1;29;2;0.4639175;250;222;7;0;0
30;1;7;1;0.5;0.1;0.1;30;4;0.5677966;225;222;7;2;1
31;1;7;1;0.5;0.1;0.1;31;4;0.5136364;228;221;7;2;1
32;1;7;1;0.5;0.1;0.1;32;4;0.4488889;233;222.75;7;2;0
33;1;7;1;0.5;0.1;0.1;33;5;0.4529148;215;226.2;7;3;0
34;1;7;1;0.5;0.1;0.1;34;4;0.4954128;217;223;7;2;0
35;1;7;1;0.5;0.1;0.1;35;5;0.4803922;251;231.2;7;3;0
36;1;7;1;0.5;0.1;0.1;36;2;0.5550239;208;208.5;7;0;1
37;1;7;1;0.5;0.1;0.1;37;4;0.481982;222;213.5;7;2;0
38;1;7;1;0.5;0.1;0.1;38;3;0.5064935;195;214;7;1;1
39;1;7;1;0.5;0.1;0.1;39;2;0.4769231;248;221.5;7;0;0
40;1;7;1;0.5;0.1;0.1;40;2;0.4142857;240;225;7;0;0
41;1;7;1;0.5;0.1;0.1;41;2;0.5145631;240;223;7;0;1
42;1;7;1;0.5;0.1;0.1;42;2;0.4954128;205;211.5;7;0;0
43;1;7;1;0.5;0.1;0.1;43;3;0.5062762;209;220.3333;7;1;1
44;1;7;1;0.5;0.1;0.1;44;3;0.5081967;194;216.3333;7;1;1
45;1;7;1;0.5;0.1;0.1;45;2;0.5170732;221;213;7;0;1
46;1;7;1;0.5;0.1;0.1;46;2;0.4719101;243;210.5;7;0;0
47;1;7;1;0.5;0.1;0.1;47;2;0.507177;246;227.5;7;0;1
48;1;7;1;0.5;0.1;0.1;48;2;0.4896907;223;208.5;7;0;0
49;1;7;1;0.5;0.1;0.1;49;6;0.4869565;218;225;7;4;0
50;1;7;1;0.5;0.1;0.1;50;2;0.4866071;219;221.5;7;0;0
51;1;7;1;0.5;0.1;0.1;51;2;0.4571429;242;226;7;0;0
52;1;7;1;0.5;0.1;0.1;52;3;0.4979253;222;227;7;1;0
53;1;7;1;0.5;0.1;0.1;53;2;0.4708738;209;207.5;7;0;0
54;1;7;1;0.5;0.1;0.1;54;5;0.5371179;217;217.6;7;3;1
