;simu;n_obs;mutation_rate;c;initial_trait_frequency;initial_pref_frequency;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration;tradition_for_trait
1;1;7;1;0.5;0.1;0.1;1;3;0.4695652;224;220;7;1;0
2;1;7;1;0.5;0.1;0.1;2;2;0.1188119;237;219.5;7;0;0
3;1;7;1;0.5;0.1;0.1;3;3;0.465587;209;214.3333;7;1;0
4;1;7;1;0.5;0.1;0.1;4;3;0.440367;251;234.3333;7;1;0
5;1;7;1;0.5;0.1;0.1;5;5;0.4784483;212;215.2;7;3;0
6;1;7;1;0.5;0.1;0.1;6;3;0.4600939;251;233;7;1;0
7;1;7;1;0.5;0.1;0.1;7;2;0.05140187;223;218.5;7;0;0
8;1;7;1;0.5;0.1;0.1;8;4;0.4831933;235;224;7;2;0
9;1;7;1;0.5;0.1;0.1;9;2;0.1481481;216;216;7;0;0
10;1;7;1;0.5;0.1;0.1;10;2;0.1435644;236;219;7;0;0
11;1;7;1;0.5;0.1;0.1;11;2;0.1;227;228.5;7;0;0
12;1;7;1;0.5;0.1;0.1;12;4;0.36;234;222;7;2;0
13;1;7;1;0.5;0.1;0.1;13;3;0.4592275;239;227.6667;7;1;0
14;1;7;1;0.5;0.1;0.1;14;3;0.4979079;211;223;7;1;0
15;1;7;1;0.5;0.1;0.1;15;4;0.4363636;229;231.25;7;2;0
16;1;7;1;0.5;0.1;0.1;16;2;0.1365854;241;223;7;0;0
17;1;7;1;0.5;0.1;0.1;17;4;0.4646018;220;219.5;7;2;0
18;1;7;1;0.5;0.1;0.1;18;2;0.0744186;213;214;7;0;0
19;1;7;1;0.5;0.1;0.1;19;6;0.4516129;213;220.5;7;4;0
20;1;7;1;0.5;0.1;0.1;20;2;0.1111111;231;228;7;0;0
21;1;7;1;0.5;0.1;0.1;21;3;0.4520548;212;212.6667;7;1;0
22;1;7;1;0.5;0.1;0.1;22;10;0.4872881;221;224.1;7;8;0
23;1;7;1;0.5;0.1;0.1;23;6;0.450237;220;224.3333;7;4;0
24;1;7;1;0.5;0.1;0.1;24;3;0.464135;206;210.3333;7;1;0
25;1;7;1;0.5;0.1;0.1;25;2;0.09459459;214;218;7;0;0
26;1;7;1;0.5;0.1;0.1;26;2;0.1184834;245;228;7;0;0
27;1;7;1;0.5;0.1;0.1;27;5;0.4898785;211;216.6;7;3;0
28;1;7;1;0.5;0.1;0.1;28;2;0.1414141;226;212;7;0;0
29;1;7;1;0.5;0.1;0.1;29;6;0.4117647;233;215;7;4;0
30;1;7;1;0.5;0.1;0.1;30;3;0.4491525;206;217;7;1;0
31;1;7;1;0.5;0.1;0.1;31;3;0.4061135;210;220.3333;7;1;0
32;1;7;1;0.5;0.1;0.1;32;3;0.4759825;218;222.6667;7;1;0
33;1;7;1;0.5;0.1;0.1;33;5;0.4311927;233;222.8;7;3;0
34;1;7;1;0.5;0.1;0.1;34;2;0.09852217;251;227;7;0;0
35;1;7;1;0.5;0.1;0.1;35;5;0.4212766;206;217;7;3;0
36;1;7;1;0.5;0.1;0.1;36;3;0.4895397;218;232;7;1;0
37;1;7;1;0.5;0.1;0.1;37;5;0.4780488;229;216;7;3;0
38;1;7;1;0.5;0.1;0.1;38;2;0.09722222;240;228;7;0;0
39;1;7;1;0.5;0.1;0.1;39;7;0.4857143;245;221.2857;7;5;0
40;1;7;1;0.5;0.1;0.1;40;2;0.1037736;247;229.5;7;0;0
41;1;7;1;0.5;0.1;0.1;41;2;0.04979253;234;237.5;7;0;0
42;1;7;1;0.5;0.1;0.1;42;6;0.4786325;230;226;7;4;0
43;1;7;1;0.5;0.1;0.1;43;2;0.08962264;235;223.5;7;0;0
44;1;7;1;0.5;0.1;0.1;44;8;0.3921569;250;226.25;7;6;0
45;1;7;1;0.5;0.1;0.1;45;4;0.46875;221;236.25;7;2;0
46;1;7;1;0.5;0.1;0.1;46;2;0.127551;220;208;7;0;0
47;1;7;1;0.5;0.1;0.1;47;3;0.4059406;209;212.3333;7;1;0
48;1;7;1;0.5;0.1;0.1;48;4;0.4439252;237;230.75;7;2;0
49;1;7;1;0.5;0.1;0.1;49;2;0.1022222;245;235;7;0;0
50;1;7;1;0.5;0.1;0.1;50;6;0.4669811;226;219.1667;7;4;0
51;1;7;1;0.5;0.1;0.1;51;2;0.1019417;228;217;7;0;0
52;1;7;1;0.5;0.1;0.1;52;5;0.4605263;194;216;7;3;0
53;1;7;1;0.5;0.1;0.1;53;3;0.48583;204;213.6667;7;1;0
54;1;7;1;0.5;0.1;0.1;54;4;0.4879227;236;232;7;2;0
55;1;7;1;0.5;0.1;0.1;55;5;0.4786325;194;211.8;7;3;0
56;1;7;1;0.5;0.1;0.1;56;5;0.4291667;229;227.4;7;3;0
57;1;7;1;0.5;0.1;0.1;57;3;0.416309;210;215.6667;7;1;0
58;1;7;1;0.5;0.1;0.1;58;2;0.1435407;232;220.5;7;0;0
59;1;7;1;0.5;0.1;0.1;59;2;0.1105263;249;219.5;7;0;0
60;1;7;1;0.5;0.1;0.1;60;9;0.4669421;202;222.8889;7;7;0
61;1;7;1;0.5;0.1;0.1;61;4;0.485;229;216.5;7;2;0
62;1;7;1;0.5;0.1;0.1;62;3;0.4768519;218;222.3333;7;1;0
63;1;7;1;0.5;0.1;0.1;63;8;0.4384236;212;220.375;7;6;0
64;1;7;1;0.5;0.1;0.1;64;3;0.4459459;243;237;7;1;0
