;simu;n_obs;mutation_rate;c;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;1;0.5;1;101;0.5598291;225;222.6337;1;0
2;1;1;1;0.5;2;101;0.4845815;227;224.9208;1;0
3;1;1;1;0.5;3;104;0.495614;236;224.3846;1;3
4;1;1;1;0.5;4;104;0.5121951;226;223.6058;1;3
5;1;1;1;0.5;5;101;0.5114155;228;223.5941;1;0
6;1;1;1;0.5;6;102;0.5478261;222;224.1961;1;1
7;1;1;1;0.5;7;101;0.5345622;216;224.604;1;0
8;1;1;1;0.5;8;102;0.4663462;208;223.3725;1;1
9;1;1;1;0.5;9;101;0.5147679;208;224.4752;1;0
10;1;1;1;0.5;10;104;0.493617;227;226.125;1;3
11;1;1;1;0.5;11;104;0.4675325;225;223.1442;1;3
12;1;1;1;0.5;12;102;0.5152838;213;224.3922;1;1
13;1;1;1;0.5;13;101;0.5173913;245;222.8911;1;0
14;1;1;1;0.5;14;102;0.4414414;203;224.7353;1;1
15;1;1;1;0.5;15;101;0.5107296;199;225.099;1;0
16;1;1;1;0.5;16;102;0.4711111;221;224.7647;1;1
17;1;1;1;0.5;17;102;0.5073171;229;224.4412;1;1
18;1;1;1;0.5;18;103;0.4827586;245;224.3981;1;2
19;1;1;1;0.5;19;101;0.5373832;214;223.6139;1;0
20;1;1;1;0.5;20;101;0.5327103;236;224.1089;1;0
21;1;1;1;0.5;21;101;0.5;227;223.0198;1;0
22;1;1;1;0.5;22;102;0.5483871;220;223.902;1;1
23;1;1;1;0.5;23;101;0.495098;227;220.5644;1;0
24;1;1;1;0.5;24;102;0.4896266;206;224.1961;1;1
25;1;1;1;0.5;25;101;0.4921875;201;223.8614;1;0
26;1;1;1;0.5;26;104;0.490991;216;224.4519;1;3
27;1;1;1;0.5;27;101;0.5502183;231;223.2277;1;0
28;1;1;1;0.5;28;101;0.4931507;218;223.7921;1;0
29;1;1;1;0.5;29;103;0.5833333;221;224.3786;1;2
30;1;1;1;0.5;30;111;0.4637097;200;222.3423;1;10
31;1;1;1;0.5;31;102;0.4663462;230;224.1765;1;1
32;1;1;1;0.5;32;101;0.4351852;226;223.7228;1;0
33;1;1;1;0.5;33;101;0.5536481;212;222.396;1;0
34;1;1;1;0.5;34;101;0.4955752;231;222.3762;1;0
35;1;1;1;0.5;35;101;0.5172414;245;223.1089;1;0
36;1;1;1;0.5;36;101;0.447619;223;223.4455;1;0
37;1;1;1;0.5;37;104;0.539823;215;225.4712;1;3
38;1;1;1;0.5;38;102;0.487395;227;223.8137;1;1
39;1;1;1;0.5;39;101;0.4778761;230;224.7228;1;0
40;1;1;1;0.5;40;101;0.5137615;231;223.8218;1;0
41;1;1;1;0.5;41;101;0.4223108;215;222.8911;1;0
42;1;1;1;0.5;42;101;0.5235849;248;221.7921;1;0
43;1;1;1;0.5;43;101;0.5416667;240;224.6535;1;0
44;1;1;1;0.5;44;103;0.5388128;243;225.4466;1;2
45;1;1;1;0.5;45;101;0.5046296;219;222.9109;1;0
46;1;1;1;0.5;46;103;0.4877049;219;224.1553;1;2
47;1;1;1;0.5;47;102;0.5;236;222.2647;1;1
48;1;1;1;0.5;48;102;0.463964;245;224.7745;1;1
49;1;1;1;0.5;49;101;0.4723618;219;225;1;0
50;1;1;1;0.5;50;102;0.4394619;219;223.7941;1;1
51;1;1;1;0.5;51;101;0.4794521;227;223.4257;1;0
52;1;1;1;0.5;52;101;0.5111111;209;224.3069;1;0
53;1;1;1;0.5;53;102;0.5108225;209;223.1667;1;1
54;1;1;1;0.5;54;105;0.4686192;206;224.4952;1;4
55;1;1;1;0.5;55;101;0.5277778;222;223.4653;1;0
56;1;1;1;0.5;56;104;0.5253456;232;221.7212;1;3
57;1;1;1;0.5;57;102;0.5046729;236;223.0098;1;1
58;1;1;1;0.5;58;101;0.5110132;234;221.9901;1;0
59;1;1;1;0.5;59;102;0.5378151;214;223.8431;1;1
60;1;1;1;0.5;60;101;0.5062241;222;223.0396;1;0
61;1;1;1;0.5;61;101;0.5305164;238;222.901;1;0
