"","simu","n_obs","mutation_rate","c","initial_trait_frequency","male_trait_first","male_trait_last","female_choice_first","female_choice_last","female_preference_last","mean_nb_meetings","nb_meetings_1","nb_matings_1","nb_females_meeting_1"
"1",1,0,0,0.5,0,0,0,0,0,0.5022873517,2.004059014,0,0,0
"2",2,1,0,0.5,0,0,0,0,0,0,2.003501584,0,0,0
"3",3,5,0,0.5,0,0,0,0,0,0,2.002483464,0,0,0
"4",4,10,0,0.5,0,0,0,0,0,0,2.000240357,0,0,0
"5",5,15,0,0.5,0,0,0,0,0,0,2.001544618,0,0,0
"6",6,20,0,0.5,0,0,0,0,0,0,2.002329121,0,0,0
"7",7,25,0,0.5,0,0,0,0,0,0,2.001492453,0,0,0
"8",8,30,0,0.5,0,0,0,0,0,0,2.003107971,0,0,0
"9",9,0,0,0.6,0,0,0,0,0,0.499261172,2.081917904,0,0,0
"10",10,1,0,0.6,0,0,0,0,0,0,1.665818823,0,0,0
"11",11,5,0,0.6,0,0,0,0,0,0,1.665497163,0,0,0
"12",12,10,0,0.6,0,0,0,0,0,0,1.670420568,0,0,0
"13",13,15,0,0.6,0,0,0,0,0,0,1.667246671,0,0,0
"14",14,20,0,0.6,0,0,0,0,0,0,1.667193411,0,0,0
"15",15,25,0,0.6,0,0,0,0,0,0,1.662451591,0,0,0
"16",16,30,0,0.6,0,0,0,0,0,0,1.666979486,0,0,0
"17",17,0,0,0.7,0,0,0,0,0,0.5000349118,2.379473875,0,0,0
"18",18,1,0,0.7,0,0,0,0,0,0,1.432688154,0,0,0
"19",19,5,0,0.7,0,0,0,0,0,0,1.429839812,0,0,0
"20",20,10,0,0.7,0,0,0,0,0,0,1.428178136,0,0,0
"21",21,15,0,0.7,0,0,0,0,0,0,1.429487833,0,0,0
"22",22,20,0,0.7,0,0,0,0,0,0,1.43149061,0,0,0
"23",23,25,0,0.7,0,0,0,0,0,0,1.428850637,0,0,0
"24",24,30,0,0.7,0,0,0,0,0,0,1.429016255,0,0,0
