;simu;n_obs;mutation_rate;c;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;0;0.5;1;102;0.3849372;233;235.4706;1;1
2;1;1;0;0.5;2;122;0.3416667;231;236.541;1;21
3;1;1;0;0.5;3;1000;1;232;236.881;1;900
4;1;1;0;0.5;4;191;0.5681818;240;235.733;1;90
5;1;1;0;0.5;5;141;0.5887446;229;236.8511;1;40
6;1;1;0;0.5;6;101;0.4727273;226;234.8317;1;0
7;1;1;0;0.5;7;1000;0;239;236.806;1;900
8;1;1;0;0.5;8;897;0.3650794;228;236.7703;1;796
9;1;1;0;0.5;9;578;0.6320755;255;236.872;1;477
10;1;1;0;0.5;10;754;0.3938224;230;237.0902;1;653
11;1;1;0;0.5;11;101;0.5708155;231;236.2772;1;0
12;1;1;0;0.5;12;101;0.4219409;240;237.0099;1;0
13;1;1;0;0.5;13;105;0.4669421;227;238.0381;1;4
14;1;1;0;0.5;14;102;0.5848214;224;237.3333;1;1
15;1;1;0;0.5;15;117;0.6269841;243;237.6496;1;16
16;1;1;0;0.5;16;107;0.3166667;241;235.514;1;6
17;1;1;0;0.5;17;101;0.512605;242;236.1386;1;0
18;1;1;0;0.5;18;102;0.4893617;234;237.2745;1;1
19;1;1;0;0.5;19;1000;0.8869565;230;236.942;1;900
20;1;1;0;0.5;20;101;0.5210084;234;234.4356;1;0
21;1;1;0;0.5;21;1000;0.1478261;230;236.111;1;900
22;1;1;0;0.5;22;1000;0;229;236.82;1;900
23;1;1;0;0.5;23;167;0.4173228;221;235.2515;1;66
24;1;1;0;0.5;24;105;0.5957447;238;234.5714;1;4
25;1;1;0;0.5;25;686;0.5784753;224;236.8455;1;585
26;1;1;0;0.5;26;132;0.5679012;220;236.0076;1;31
27;1;1;0;0.5;27;398;0.6401674;211;236.0352;1;297
28;1;1;0;0.5;28;101;0.5381526;246;235.8218;1;0
29;1;1;0;0.5;29;1000;1;225;236.58;1;900
30;1;1;0;0.5;30;101;0.4252336;239;236.802;1;0
31;1;1;0;0.5;31;887;0.4224806;225;236.6708;1;786
32;1;1;0;0.5;32;101;0.605042;242;236.099;1;0
33;1;1;0;0.5;33;229;0.3648069;231;236.4148;1;128
34;1;1;0;0.5;34;1000;1;244;237.073;1;900
35;1;1;0;0.5;35;104;0.3966245;222;236.1827;1;3
36;1;1;0;0.5;36;101;0.462963;212;238.2277;1;0
37;1;1;0;0.5;37;101;0.6309013;231;236.9901;1;0
38;1;1;0;0.5;38;183;0.3716475;223;236.7814;1;82
39;1;1;0;0.5;39;121;0.3452915;222;236.2231;1;20
40;1;1;0;0.5;40;114;0.312;204;235.9825;1;13
41;1;1;0;0.5;41;234;0.4050633;216;237.2521;1;133
42;1;1;0;0.5;42;101;0.5890411;255;235.3564;1;0
43;1;1;0;0.5;43;128;0.5491803;240;235.5547;1;27
44;1;1;0;0.5;44;280;0.4420601;243;237.8071;1;179
45;1;1;0;0.5;45;1000;0.9800797;251;237.202;1;900
46;1;1;0;0.5;46;130;0.5780591;261;237.5154;1;29
47;1;1;0;0.5;47;101;0.558952;255;236.1683;1;0
48;1;1;0;0.5;48;150;0.4009009;237;236.8267;1;49
49;1;1;0;0.5;49;102;0.4605809;231;236.1667;1;1
