"","X","simu","n_obs","mutation_rate","c","initial_trait_frequency","replicate","male_trait_first","male_trait_last","female_choice_first","female_choice_last","female_preference_last","nb_repro_last"
"1",NA,1,"0",0,"0.5",0,NA,0,0,0,0,0.4990448121,NA
"2",NA,2,"1",0,"0.5",0,NA,0,0,0,0,0,NA
"3",NA,3,"5",0,"0.5",0,NA,0,0,0,0,0,NA
"4",NA,4,"10",0,"0.5",0,NA,0,0,0,0,0,NA
"5",NA,5,"15",0,"0.5",0,NA,0,0,0,0,0,NA
"6",NA,6,"20",0,"0.5",0,NA,0,0,0,0,0,NA
"7",NA,7,"25",0,"0.5",0,NA,0,0,0,0,0,NA
"8",NA,8,"30",0,"0.5",0,NA,0,0,0,0,0,NA
"9",NA,9,"0",0,"0.6",0,NA,0,0,0,0,0.5010702178,NA
"10",NA,10,"1",0,"0.6",0,NA,0,0,0,0,0,NA
"11",NA,11,"5",0,"0.6",0,NA,0,0,0,0,0,NA
"12",NA,12,"10",0,"0.6",0,NA,0,0,0,0,0,NA
"13",NA,13,"15",0,"0.6",0,NA,0,0,0,0,0,NA
"14",NA,14,"20",0,"0.6",0,NA,0,0,0,0,0,NA
"15",NA,15,"25",0,"0.6",0,NA,0,0,0,0,0,NA
"16",NA,16,"30",0,"0.6",0,NA,0,0,0,0,0,NA
"17",NA,17,"0",0,"0.7",0,NA,0,0,0,0,0.500916465,NA
"18",NA,18,"1",0,"0.7",0,NA,0,0,0,0,0,NA
"19",NA,19,"5",0,"0.7",0,NA,0,0,0,0,0,NA
"20",NA,20,"10",0,"0.7",0,NA,0,0,0,0,0,NA
"21",NA,21,"15",0,"0.7",0,NA,0,0,0,0,0,NA
"22",NA,22,"20",0,"0.7",0,NA,0,0,0,0,0,NA
"23",NA,23,"25",0,"0.7",0,NA,0,0,0,0,0,NA
"24",NA,24,"30",0,"0.7",0,NA,0,0,0,0,0,NA
"25",NA,25,"0",0,"0.8",0,NA,0,0,0,0,0.4990237944,NA
"26",NA,26,"1",0,"0.8",0,NA,0,0,0,0,0,NA
"27",NA,27,"5",0,"0.8",0,NA,0,0,0,0,0,NA
"28",NA,28,"10",0,"0.8",0,NA,0,0,0,0,0,NA
"29",NA,29,"15",0,"0.8",0,NA,0,0,0,0,0,NA
"30",NA,30,"20",0,"0.8",0,NA,0,0,0,0,0,NA
"31",NA,31,"25",0,"0.8",0,NA,0,0,0,0,0,NA
"32",NA,32,"30",0,"0.8",0,NA,0,0,0,0,0,NA
"33",NA,33,"0",0,"0.9",0,NA,0,0,0,0,0.500763172,NA
"34",NA,34,"1",0,"0.9",0,NA,0,0,0,0,0,NA
"35",NA,35,"5",0,"0.9",0,NA,0,0,0,0,0,NA
"36",NA,36,"10",0,"0.9",0,NA,0,0,0,0,0,NA
