;simu;n_obs;mutation_rate;c;n_steps_removed;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;0.1;0.5;25;1;26;0.5514019;222;224.3846;1;0
2;1;1;0.1;0.5;25;2;41;0.4621514;201;222.2683;1;15
3;1;1;0.1;0.5;25;3;26;0.4146341;230;222.6923;1;0
4;1;1;0.1;0.5;25;4;27;0.6143498;220;223.4074;1;1
5;1;1;0.1;0.5;25;5;26;0.4411765;211;223.9231;1;0
6;1;1;0.1;0.5;25;6;26;0.5133929;215;222.6154;1;0
7;1;1;0.1;0.5;25;7;26;0.4902913;225;224.1154;1;0
8;1;1;0.1;0.5;25;8;26;0.5205479;220;219.1923;1;0
9;1;1;0.1;0.5;25;9;29;0.4333333;228;226.8621;1;3
10;1;1;0.1;0.5;25;10;33;0.4345992;236;224.4242;1;7
11;1;1;0.1;0.5;25;11;34;0.652381;218;222.5;1;8
12;1;1;0.1;0.5;25;12;40;0.448;204;222.8;1;14
13;1;1;0.1;0.5;25;13;27;0.5857143;241;222.6296;1;1
14;1;1;0.1;0.5;25;14;28;0.5067873;233;224.9643;1;2
15;1;1;0.1;0.5;25;15;28;0.445;259;221.8214;1;2
16;1;1;0.1;0.5;25;16;31;0.5159817;208;222.129;1;5
17;1;1;0.1;0.5;25;17;64;0.4600939;213;222.7344;1;38
18;1;1;0.1;0.5;25;18;29;0.4232558;245;226.1379;1;3
19;1;1;0.1;0.5;25;19;34;0.6133333;222;225.1471;1;8
20;1;1;0.1;0.5;25;20;27;0.534413;228;225.2963;1;1
21;1;1;0.1;0.5;25;21;28;0.5680751;225;220.7143;1;2
22;1;1;0.1;0.5;25;22;26;0.4768519;228;222.9231;1;0
23;1;1;0.1;0.5;25;23;26;0.5378151;226;223.5;1;0
24;1;1;0.1;0.5;25;24;26;0.5407725;220;220.2308;1;0
25;1;1;0.1;0.5;25;25;32;0.4926829;218;223.7812;1;6
26;1;1;0.1;0.5;25;26;36;0.3333333;240;221.6111;1;10
27;1;1;0.1;0.5;25;27;26;0.5489362;218;223.8462;1;0
