;simu;n_obs;mutation_rate;c;initial_trait_frequency;initial_pref_frequency;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration;tradition_for_trait
1;1;7;1;0.6;0.1;0.1;1;2;0.4366197;225;219;7;0;0
2;1;7;1;0.6;0.1;0.1;2;2;0.539604;265;233.5;7;0;1
3;1;7;1;0.6;0.1;0.1;3;2;0.5066079;241;234;7;0;1
4;1;7;1;0.6;0.1;0.1;4;7;0.5;213;223.8571;7;5;0
5;1;7;1;0.6;0.1;0.1;5;4;0.4412955;214;233.25;7;2;0
6;1;7;1;0.6;0.1;0.1;6;7;0.470852;216;223.7143;7;5;0
7;1;7;1;0.6;0.1;0.1;7;2;0.4978723;221;228;7;0;0
8;1;7;1;0.6;0.1;0.1;8;7;0.4851064;231;225.2857;7;5;0
9;1;7;1;0.6;0.1;0.1;9;2;0.5023041;242;229.5;7;0;1
10;1;7;1;0.6;0.1;0.1;10;3;0.4393305;198;212;7;1;0
11;1;7;1;0.6;0.1;0.1;11;3;0.4869565;238;227;7;1;0
12;1;7;1;0.6;0.1;0.1;12;9;0.4779116;188;216.6667;7;7;0
13;1;7;1;0.6;0.1;0.1;13;6;0.455814;235;224.3333;7;4;0
14;1;7;1;0.6;0.1;0.1;14;4;0.4571429;223;216.5;7;2;0
15;1;7;1;0.6;0.1;0.1;15;2;0.5025126;233;216;7;0;1
16;1;7;1;0.6;0.1;0.1;16;3;0.489083;210;215.3333;7;1;0
17;1;7;1;0.6;0.1;0.1;17;3;0.4935622;226;233;7;1;0
18;1;7;1;0.6;0.1;0.1;18;5;0.456621;234;226.2;7;3;0
19;1;7;1;0.6;0.1;0.1;19;2;0.4318182;215;217.5;7;0;0
20;1;7;1;0.6;0.1;0.1;20;4;0.4765957;232;228;7;2;0
21;1;7;1;0.6;0.1;0.1;21;7;0.4690265;240;227;7;5;0
22;1;7;1;0.6;0.1;0.1;22;3;0.4977778;222;220;7;1;0
23;1;7;1;0.6;0.1;0.1;23;4;0.4896266;216;216.25;7;2;0
24;1;7;1;0.6;0.1;0.1;24;2;0.4622642;213;212.5;7;0;0
25;1;7;1;0.6;0.1;0.1;25;4;0.4626168;220;216.5;7;2;0
26;1;7;1;0.6;0.1;0.1;26;7;0.5343137;216;216;7;5;1
27;1;7;1;0.6;0.1;0.1;27;2;0.4835165;259;220.5;7;0;0
28;1;7;1;0.6;0.1;0.1;28;2;0.4230769;241;224.5;7;0;0
29;1;7;1;0.6;0.1;0.1;29;2;0.4861111;239;227.5;7;0;0
30;1;7;1;0.6;0.1;0.1;30;4;0.4863636;247;223.75;7;2;0
31;1;7;1;0.6;0.1;0.1;31;2;0.4754902;248;226;7;0;0
