;simu;n_obs;mutation_rate;c;initial_trait_frequency;initial_pref_frequency;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration;tradition_for_trait
1;1;7;1;0.6;0.1;0.1;1;6;0.5;223;228.8333;7;4;0
2;1;7;1;0.6;0.1;0.1;2;5;0.4444444;203;223.8;7;3;0
3;1;7;1;0.6;0.1;0.1;3;4;0.4761905;238;225.25;7;2;0
4;1;7;1;0.6;0.1;0.1;4;3;0.4297872;220;219.6667;7;1;0
5;1;7;1;0.6;0.1;0.1;5;6;0.4927536;232;223;7;4;0
6;1;7;1;0.6;0.1;0.1;6;4;0.4016736;205;220;7;2;0
7;1;7;1;0.6;0.1;0.1;7;9;0.4285714;213;219.6667;7;7;0
8;1;7;1;0.6;0.1;0.1;8;10;0.4455446;257;219.4;7;8;0
9;1;7;1;0.6;0.1;0.1;9;5;0.4814815;204;224.8;7;3;0
10;1;7;1;0.6;0.1;0.1;10;6;0.5;237;222.3333;7;4;0
11;1;7;1;0.6;0.1;0.1;11;3;0.3766234;201;221.6667;7;1;0
12;1;7;1;0.6;0.1;0.1;12;4;0.4026549;215;219.25;7;2;0
13;1;7;1;0.6;0.1;0.1;13;4;0.4514768;218;229.75;7;2;0
14;1;7;1;0.6;0.1;0.1;14;3;0.3162791;213;213;7;1;0
15;1;7;1;0.6;0.1;0.1;15;5;0.4784483;235;234.2;7;3;0
16;1;7;1;0.6;0.1;0.1;16;8;0.4125;232;220.5;7;6;0
17;1;7;1;0.6;0.1;0.1;17;4;0.4554974;237;223.25;7;2;0
18;1;7;1;0.6;0.1;0.1;18;4;0.4529148;213;219;7;2;0
19;1;7;1;0.6;0.1;0.1;19;8;0.4608696;226;220.875;7;6;0
20;1;7;1;0.6;0.1;0.1;20;4;0.4433498;218;215.25;7;2;0
21;1;7;1;0.6;0.1;0.1;21;3;0.3901345;212;214.6667;7;1;0
22;1;7;1;0.6;0.1;0.1;22;3;0.4259259;221;220;7;1;0
23;1;7;1;0.6;0.1;0.1;23;5;0.4736842;219;229.2;7;3;0
24;1;7;1;0.6;0.1;0.1;24;5;0.45;228;221;7;3;0
25;1;7;1;0.6;0.1;0.1;25;4;0.4583333;228;226;7;2;0
26;1;7;1;0.6;0.1;0.1;26;5;0.4660633;233;219.8;7;3;0
27;1;7;1;0.6;0.1;0.1;27;10;0.4863636;214;226.5;7;8;0
28;1;7;1;0.6;0.1;0.1;28;5;0.4935065;238;218.4;7;3;0
29;1;7;1;0.6;0.1;0.1;29;6;0.4848485;255;224.6667;7;4;0
30;1;7;1;0.6;0.1;0.1;30;6;0.4774775;205;219.8333;7;4;0
31;1;7;1;0.6;0.1;0.1;31;4;0.4170404;221;226.25;7;2;0
32;1;7;1;0.6;0.1;0.1;32;5;0.463964;236;220.4;7;3;0
33;1;7;1;0.6;0.1;0.1;33;4;0.497561;210;216;7;2;0
34;1;7;1;0.6;0.1;0.1;34;8;0.4366812;209;222.625;7;6;0
35;1;7;1;0.6;0.1;0.1;35;3;0.4644351;217;222.3333;7;1;0
