;simu;n_obs;mutation_rate;c;n_matings;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration;tradition_for_trait
1;1;7;1;0.5;1;1;102;0.4770642;217;214.2941;7;1;0
2;1;7;1;0.5;1;2;101;0.5022624;211;215.5248;7;0;1
3;1;7;1;0.5;1;3;101;0.4675926;219;214.6337;7;0;0
4;1;7;1;0.5;1;4;103;0.490566;220;214.4369;7;2;0
5;1;7;1;0.5;1;5;102;0.4883721;219;214.8039;7;1;0
6;1;7;1;0.5;1;6;103;0.5145631;217;214.9709;7;2;1
7;1;7;1;0.5;1;7;102;0.5311005;228;214.8039;7;1;1
8;1;7;1;0.5;1;8;101;0.5357143;230;215.3465;7;0;1
9;1;7;1;0.5;1;9;102;0.5550661;218;214.9902;7;1;1
10;1;7;1;0.5;1;10;101;0.5137615;211;215.5347;7;0;1
11;1;7;1;0.5;1;11;102;0.5164319;227;215.3922;7;1;1
12;1;7;1;0.5;1;12;103;0.4226804;235;215.6699;7;2;0
13;1;7;1;0.5;1;13;102;0.4646018;201;215.6176;7;1;0
14;1;7;1;0.5;1;14;101;0.4845815;206;214.8218;7;0;0
15;1;7;1;0.5;1;15;103;0.472973;224;215.4369;7;2;0
16;1;7;1;0.5;1;16;101;0.5167464;213;214.2574;7;0;1
17;1;7;1;0.5;1;17;102;0.4755556;215;215.4216;7;1;0
18;1;7;1;0.5;1;18;101;0.4864865;223;216.0792;7;0;0
19;1;7;1;0.5;1;19;101;0.5088496;214;215.198;7;0;1
20;1;7;1;0.5;1;20;103;0.5660377;229;216.068;7;2;1
21;1;7;1;0.5;1;21;101;0.5395349;214;214.7228;7;0;1
22;1;7;1;0.5;1;22;101;0.5770925;219;215.6337;7;0;1
23;1;7;1;0.5;1;23;101;0.4619048;215;214.9703;7;0;0
24;1;7;1;0.5;1;24;101;0.5225225;209;214.0297;7;0;1
25;1;7;1;0.5;1;25;102;0.4814815;217;216.049;7;1;0
26;1;7;1;0.5;1;26;102;0.47343;223;215.5294;7;1;0
27;1;7;1;0.5;1;27;101;0.5357143;222;215.9703;7;0;1
28;1;7;1;0.5;1;28;103;0.49;235;216.2913;7;2;0
29;1;7;1;0.5;1;29;103;0.4861111;206;214.1456;7;2;0
30;1;7;1;0.5;1;30;102;0.4651163;209;214.7451;7;1;0
31;1;7;1;0.5;1;31;101;0.4654378;223;215.0495;7;0;0
