;simu;n_obs;mutation_rate;c;n_matings;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration;tradition_for_trait
1;1;7;1;0.6;1;1;103;0.510101;221;215.2718;7;2;1
2;1;7;1;0.6;1;2;101;0.4454148;212;215.2772;7;0;0
3;1;7;1;0.6;1;3;103;0.512931;194;215.767;7;2;1
4;1;7;1;0.6;1;4;105;0.4933333;217;215.7429;7;4;0
5;1;7;1;0.6;1;5;107;0.464455;221;214.8037;7;6;0
6;1;7;1;0.6;1;6;102;0.4660633;219;214.9804;7;1;0
7;1;7;1;0.6;1;7;101;0.5401786;228;214.8812;7;0;1
8;1;7;1;0.6;1;8;102;0.4977169;230;215.3725;7;1;0
9;1;7;1;0.6;1;9;102;0.5107296;207;215.9412;7;1;1
10;1;7;1;0.6;1;10;101;0.4935065;199;215.0891;7;0;0
11;1;7;1;0.6;1;11;101;0.5327511;220;216.4851;7;0;1
12;1;7;1;0.6;1;12;103;0.4892704;206;214.8835;7;2;0
13;1;7;1;0.6;1;13;102;0.5774648;219;215.1765;7;1;1
14;1;7;1;0.6;1;14;103;0.5345622;211;214.6117;7;2;1
15;1;7;1;0.6;1;15;103;0.4952381;202;215.2233;7;2;0
16;1;7;1;0.6;1;16;101;0.4784689;204;214.9604;7;0;0
17;1;7;1;0.6;1;17;103;0.4132653;230;215.8447;7;2;0
18;1;7;1;0.6;1;18;101;0.4930233;223;215.9505;7;0;0
19;1;7;1;0.6;1;19;103;0.4816514;207;215.1845;7;2;0
20;1;7;1;0.6;1;20;101;0.4690265;217;216.2079;7;0;0
21;1;7;1;0.6;1;21;101;0.52;240;215.8119;7;0;1
22;1;7;1;0.6;1;22;101;0.4460094;223;213.8812;7;0;0
23;1;7;1;0.6;1;23;102;0.4746544;221;215.7059;7;1;0
24;1;7;1;0.6;1;24;102;0.5147059;222;214.4118;7;1;1
25;1;7;1;0.6;1;25;101;0.5405405;203;215.0198;7;0;1
26;1;7;1;0.6;1;26;101;0.5217391;200;214.901;7;0;1
27;1;7;1;0.6;1;27;102;0.5194175;234;215.2059;7;1;1
28;1;7;1;0.6;1;28;101;0.520362;216;215.505;7;0;1
29;1;7;1;0.6;1;29;102;0.510917;202;215.4216;7;1;1
30;1;7;1;0.6;1;30;102;0.5;213;215.2451;7;1;0
31;1;7;1;0.6;1;31;102;0.5219298;211;215.5588;7;1;1
32;1;7;1;0.6;1;32;101;0.4759358;214;216.099;7;0;0
33;1;7;1;0.6;1;33;101;0.4851485;226;216.2871;7;0;0
34;1;7;1;0.6;1;34;103;0.5544554;201;215.4757;7;2;1
35;1;7;1;0.6;1;35;103;0.4429825;212;214.767;7;2;0
36;1;7;1;0.6;1;36;103;0.5066079;222;215.9806;7;2;1
37;1;7;1;0.6;1;37;102;0.3744292;210;215.0784;7;1;0
38;1;7;1;0.6;1;38;103;0.4794521;217;214.5825;7;2;0
39;1;7;1;0.6;1;39;102;0.5486726;214;216.8922;7;1;1
40;1;7;1;0.6;1;40;104;0.4751131;197;215.2596;7;3;0
41;1;7;1;0.6;1;41;102;0.4881517;203;213.7745;7;1;0
42;1;7;1;0.6;1;42;101;0.5086957;220;215.5347;7;0;1
43;1;7;1;0.6;1;43;101;0.4724771;204;214.3762;7;0;0
44;1;7;1;0.6;1;44;102;0.5462963;224;214.6176;7;1;1
45;1;7;1;0.6;1;45;101;0.5210526;234;214.7822;7;0;1
46;1;7;1;0.6;1;46;102;0.5098039;239;215.1471;7;1;1
47;1;7;1;0.6;1;47;104;0.504386;215;216.1923;7;3;1
48;1;7;1;0.6;1;48;104;0.4670051;235;215.0288;7;3;0
49;1;7;1;0.6;1;49;102;0.4697674;227;215.549;7;1;0
50;1;7;1;0.6;1;50;101;0.5115207;231;216.3069;7;0;1
51;1;7;1;0.6;1;51;102;0.5336323;197;215.2745;7;1;1
52;1;7;1;0.6;1;52;101;0.5066667;215;215.5941;7;0;1
53;1;7;1;0.6;1;53;102;0.4788732;215;214.6961;7;1;0
54;1;7;1;0.6;1;54;103;0.4889868;216;216.4757;7;2;0
55;1;7;1;0.6;1;55;101;0.481982;213;215.297;7;0;0
56;1;7;1;0.6;1;56;102;0.4977169;214;214.6569;7;1;0
57;1;7;1;0.6;1;57;102;0.5047619;221;215.4314;7;1;1
58;1;7;1;0.6;1;58;101;0.4369369;213;215.5941;7;0;0
59;1;7;1;0.6;1;59;101;0.4626866;233;214.703;7;0;0
60;1;7;1;0.6;1;60;101;0.5388601;222;214.9109;7;0;1
61;1;7;1;0.6;1;61;102;0.529661;188;214.8333;7;1;1
62;1;7;1;0.6;1;62;103;0.505;221;215.6893;7;2;1
63;1;7;1;0.6;1;63;102;0.5221239;205;214.1863;7;1;1
64;1;7;1;0.6;1;64;101;0.5221675;223;215.8911;7;0;1
65;1;7;1;0.6;1;65;101;0.44;209;214.9901;7;0;0
66;1;7;1;0.6;1;66;101;0.4700461;184;215.2277;7;0;0
67;1;7;1;0.6;1;67;103;0.4884793;198;213.9417;7;2;0
68;1;7;1;0.6;1;68;102;0.5119617;220;215.7059;7;1;1
69;1;7;1;0.6;1;69;102;0.519802;220;216.0098;7;1;1
70;1;7;1;0.6;1;70;102;0.5117371;208;213.098;7;1;1
71;1;7;1;0.6;1;71;101;0.5170732;202;214.2079;7;0;1
72;1;7;1;0.6;1;72;102;0.4805825;221;216.0098;7;1;0
73;1;7;1;0.6;1;73;101;0.4703196;217;215.5248;7;0;0
74;1;7;1;0.6;1;74;101;0.479638;219;215.3168;7;0;0
75;1;7;1;0.6;1;75;101;0.5062241;187;216.0495;7;0;1
76;1;7;1;0.6;1;76;101;0.4429825;211;215.5941;7;0;0
77;1;7;1;0.6;1;77;102;0.5294118;227;215.049;7;1;1
78;1;7;1;0.6;1;78;101;0.4633028;226;215.3366;7;0;0
79;1;7;1;0.6;1;79;104;0.5321101;211;214.8846;7;3;1
80;1;7;1;0.6;1;80;101;0.4778761;209;215.901;7;0;0
81;1;7;1;0.6;1;81;102;0.4490741;218;215.3039;7;1;0
82;1;7;1;0.6;1;82;102;0.4932735;208;215.2941;7;1;0
83;1;7;1;0.6;1;83;102;0.5394737;218;214.7059;7;1;1
84;1;7;1;0.6;1;84;101;0.5;205;215.8911;7;0;0
85;1;7;1;0.6;1;85;101;0.5454545;202;212.8416;7;0;1
86;1;7;1;0.6;1;86;103;0.4824561;216;215.3786;7;2;0
87;1;7;1;0.6;1;87;101;0.4292237;227;215.3069;7;0;0
88;1;7;1;0.6;1;88;101;0.4597156;223;214.5545;7;0;0
89;1;7;1;0.6;1;89;103;0.5158371;227;214.5437;7;2;1
90;1;7;1;0.6;1;90;103;0.4585366;220;214;7;2;0
91;1;7;1;0.6;1;91;103;0.4537037;205;214.7184;7;2;0
92;1;7;1;0.6;1;92;104;0.4253394;221;215.1827;7;3;0
93;1;7;1;0.6;1;93;103;0.5353535;231;214.3786;7;2;1
94;1;7;1;0.6;1;94;101;0.5305164;224;214.7921;7;0;1
95;1;7;1;0.6;1;95;101;0.5227273;212;214.1782;7;0;1
96;1;7;1;0.6;1;96;103;0.4780488;208;214.6214;7;2;0
97;1;7;1;0.6;1;97;102;0.5;202;215.3235;7;1;0
98;1;7;1;0.6;1;98;106;0.4649123;207;215.2075;7;5;0
99;1;7;1;0.6;1;99;101;0.4844444;220;215.8713;7;0;0
100;1;7;1;0.6;1;100;103;0.4635193;201;216.068;7;2;0
101;2;7;0.2;0.6;1;1;101;0.5740741;207;215.2673;7;0;1
102;2;7;0.2;0.6;1;2;107;0.5582524;233;215.9907;7;6;1
103;2;7;0.2;0.6;1;3;101;0.4506438;207;216.6733;7;0;0
104;2;7;0.2;0.6;1;4;104;0.4240838;224;214.75;7;3;0
105;2;7;0.2;0.6;1;5;108;0.547619;235;215;7;7;1
106;2;7;0.2;0.6;1;6;103;0.4318182;223;215.4563;7;2;0
107;2;7;0.2;0.6;1;7;102;0.4925373;217;214.5686;7;1;0
108;2;7;0.2;0.6;1;8;102;0.4052863;215;215.1078;7;1;0
109;2;7;0.2;0.6;1;9;102;0.5268817;238;215.3333;7;1;1
110;2;7;0.2;0.6;1;10;102;0.4474886;226;214.7451;7;1;0
111;2;7;0.2;0.6;1;11;104;0.4292453;221;215.875;7;3;0
