;simu;n_obs;mutation_rate;c;K;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;0.1;0.5;250;1;101;0.5;50;55.92079;1;0
2;1;1;0.1;0.5;250;2;101;0.34;49;56.23762;1;0
3;1;1;0.1;0.5;250;3;102;0.6851852;56;57.26471;1;1
4;1;1;0.1;0.5;250;4;101;0.6041667;75;56.11881;1;0
5;1;1;0.1;0.5;250;5;101;0.509434;48;56.31683;1;0
6;1;1;0.1;0.5;250;6;109;0.5967742;49;55.14679;1;8
7;1;1;0.1;0.5;250;7;102;0.483871;57;55.87255;1;1
8;1;1;0.1;0.5;250;8;123;0.6981132;49;56.25203;1;22
9;1;1;0.1;0.5;250;9;101;0.7058824;51;56.21782;1;0
10;1;1;0.1;0.5;250;10;104;0.4912281;59;55.31731;1;3
11;1;1;0.1;0.5;250;11;113;0.375;56;56.0708;1;12
12;1;1;0.1;0.5;250;12;130;0.6176471;58;55.58462;1;29
13;1;1;0.1;0.5;250;13;103;0.5079365;51;56.13592;1;2
14;1;1;0.1;0.5;250;14;101;0.375;46;55.46535;1;0
15;1;1;0.1;0.5;250;15;102;0.4166667;63;55.71569;1;1
16;1;1;0.1;0.5;250;16;112;0.4655172;55;55.98214;1;11
17;1;1;0.1;0.5;250;17;120;0.1428571;59;55.93333;1;19
18;1;1;0.1;0.5;250;18;101;0.6440678;53;56.17822;1;0
19;1;1;0.1;0.5;250;19;101;0.5660377;46;55.69307;1;0
20;1;1;0.1;0.5;250;20;101;0.5185185;63;56.51485;1;0
21;1;1;0.1;0.5;250;21;101;0.4615385;62;56.34653;1;0
22;1;1;0.1;0.5;250;22;104;0.4545455;59;55.89423;1;3
23;1;1;0.1;0.5;250;23;106;0.4285714;59;56.65094;1;5
24;1;1;0.1;0.5;250;24;101;0.5166667;48;55.76238;1;0
25;1;1;0.1;0.5;250;25;101;0.7090909;54;56.46535;1;0
26;1;1;0.1;0.5;250;26;105;0.7333333;56;55.55238;1;4
