;simu;n_obs;mutation_rate;c;ageing;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;0.1;0.5;0.1;1;101;0.5431034;224;223.1782;1;0
2;1;1;0.1;0.5;0.1;2;108;0.5232068;223;224.9167;1;7
3;1;1;0.1;0.5;0.1;3;101;0.5024155;246;225.1089;1;0
4;1;1;0.1;0.5;0.1;4;101;0.4886878;222;224.3663;1;0
5;1;1;0.1;0.5;0.1;5;102;0.52;234;223.4608;1;1
6;1;1;0.1;0.5;0.1;6;101;0.572093;217;224.4455;1;0
7;1;1;0.1;0.5;0.1;7;101;0.4786325;233;224.1089;1;0
8;1;1;0.1;0.5;0.1;8;116;0.4953271;223;223.8448;1;15
9;1;1;0.1;0.5;0.1;9;101;0.557377;228;224.3663;1;0
10;1;1;0.1;0.5;0.1;10;104;0.4109589;213;222.1923;1;3
11;1;1;0.1;0.5;0.1;11;104;0.4618644;223;224.9135;1;3
12;1;1;0.1;0.5;0.1;12;103;0.4977778;217;222.8835;1;2
13;1;1;0.1;0.5;0.1;13;101;0.4745763;218;224.0792;1;0
14;1;1;0.1;0.5;0.1;14;101;0.4950495;228;224.9802;1;0
15;1;1;0.1;0.5;0.1;15;106;0.5528846;212;224.1132;1;5
16;1;1;0.1;0.5;0.1;16;105;0.4567901;205;221.8286;1;4
17;1;1;0.1;0.5;0.1;17;102;0.45;235;222.5294;1;1
18;1;1;0.1;0.5;0.1;18;101;0.6462264;230;224.4653;1;0
19;1;1;0.1;0.5;0.1;19;102;0.5454545;235;224.8922;1;1
20;1;1;0.1;0.5;0.1;20;101;0.53125;229;224.4158;1;0
21;1;1;0.1;0.5;0.1;21;101;0.5361702;219;224.901;1;0
22;1;1;0.1;0.5;0.1;22;101;0.5307018;233;223.4158;1;0
23;1;1;0.1;0.5;0.1;23;101;0.5194805;236;224.7723;1;0
24;1;1;0.1;0.5;0.1;24;102;0.5137615;242;225.4706;1;1
25;1;1;0.1;0.5;0.1;25;111;0.6556604;234;222.4234;1;10
26;1;1;0.1;0.5;0.1;26;101;0.4818182;235;224.0792;1;0
27;1;1;0.1;0.5;0.1;27;101;0.5431034;232;223.4158;1;0
28;1;1;0.1;0.5;0.1;28;114;0.5159817;236;224.2632;1;13
29;1;1;0.1;0.5;0.1;29;105;0.5721393;208;223.819;1;4
30;1;1;0.1;0.5;0.1;30;107;0.5508475;223;222.7944;1;6
31;1;1;0.1;0.5;0.1;31;103;0.4844444;215;224.6311;1;2
32;1;1;0.1;0.5;0.1;32;102;0.4646465;214;224.7843;1;1
33;1;1;0.1;0.5;0.1;33;101;0.4497608;216;224.1584;1;0
34;1;1;0.1;0.5;0.1;34;102;0.4844961;199;224.5294;1;1
35;1;1;0.1;0.5;0.1;35;101;0.5190476;216;223.1683;1;0
36;1;1;0.1;0.5;0.1;36;102;0.5045045;226;221.9118;1;1
37;1;1;0.1;0.5;0.1;37;104;0.5860465;227;224.6731;1;3
38;1;1;0.1;0.5;0.1;38;101;0.5267857;213;221.9109;1;0
39;1;1;0.1;0.5;0.1;39;101;0.4541485;214;222.703;1;0
40;1;1;0.1;0.5;0.1;40;105;0.5422222;217;222.7429;1;4
41;1;1;0.1;0.5;0.1;41;101;0.5526316;229;222.7723;1;0
42;1;1;0.1;0.5;0.1;42;101;0.5;231;223.604;1;0
43;1;1;0.1;0.5;0.1;43;105;0.5879828;223;223.0095;1;4
44;1;1;0.1;0.5;0.1;44;108;0.4;209;223.4444;1;7
45;1;1;0.1;0.5;0.1;45;103;0.4508929;238;223.466;1;2
46;1;1;0.1;0.5;0.1;46;109;0.4355556;227;222.1101;1;8
47;1;1;0.1;0.5;0.1;47;105;0.3627451;254;224.0762;1;4
48;1;1;0.1;0.5;0.1;48;105;0.4675325;240;225.4095;1;4
49;1;1;0.1;0.5;0.1;49;102;0.587963;213;224.5098;1;1
50;1;1;0.1;0.5;0.1;50;109;0.4266667;220;224.5505;1;8
51;1;1;0.1;0.5;0.1;51;101;0.4975124;233;222.4356;1;0
52;1;1;0.1;0.5;0.1;52;103;0.5151515;204;222.4757;1;2
53;1;1;0.1;0.5;0.1;53;136;0.5462963;215;222.3529;1;35
54;1;1;0.1;0.5;0.1;54;114;0.4072398;226;224.7544;1;13
55;1;1;0.1;0.5;0.1;55;102;0.5891089;231;221.9216;1;1
56;1;1;0.1;0.5;0.1;56;102;0.4488889;233;223.8137;1;1
57;1;1;0.1;0.5;0.1;57;106;0.5927602;227;224.3396;1;5
58;1;1;0.1;0.5;0.1;58;101;0.4258373;229;221.4752;1;0
59;1;1;0.1;0.5;0.1;59;108;0.5428571;231;223.7963;1;7
60;1;1;0.1;0.5;0.1;60;102;0.4788732;213;224.6569;1;1
61;1;1;0.1;0.5;0.1;61;101;0.4561404;209;224;1;0
62;1;1;0.1;0.5;0.1;62;101;0.5044643;209;224;1;0
63;1;1;0.1;0.5;0.1;63;113;0.4210526;216;222.0531;1;12
64;1;1;0.1;0.5;0.1;64;103;0.41;244;224.4175;1;2
65;1;1;0.1;0.5;0.1;65;102;0.5156951;216;221.6961;1;1
66;1;1;0.1;0.5;0.1;66;104;0.3991031;223;222.0192;1;3
67;1;1;0.1;0.5;0.1;67;102;0.5242291;232;224.7647;1;1
68;1;1;0.1;0.5;0.1;68;113;0.4017467;217;224.708;1;12
69;1;1;0.1;0.5;0.1;69;111;0.4711538;210;225.1532;1;10
70;1;1;0.1;0.5;0.1;70;101;0.4372093;203;224.5248;1;0
71;1;1;0.1;0.5;0.1;71;105;0.5384615;210;221.2667;1;4
72;1;1;0.1;0.5;0.1;72;101;0.6177778;232;224.802;1;0
73;1;1;0.1;0.5;0.1;73;101;0.5399061;233;222.6931;1;0
74;1;1;0.1;0.5;0.1;74;103;0.5707965;236;225.0194;1;2
75;1;1;0.1;0.5;0.1;75;102;0.5357143;212;223.0784;1;1
76;1;1;0.1;0.5;0.1;76;111;0.5550459;225;223.8198;1;10
77;1;1;0.1;0.5;0.1;77;107;0.5466102;212;223.0374;1;6
78;1;1;0.1;0.5;0.1;78;101;0.5526316;221;224.2079;1;0
79;1;1;0.1;0.5;0.1;79;101;0.5577889;205;223.8713;1;0
80;1;1;0.1;0.5;0.1;80;104;0.5165289;203;223.7212;1;3
81;1;1;0.1;0.5;0.1;81;101;0.3794872;246;223.8812;1;0
82;1;1;0.1;0.5;0.1;82;105;0.4675926;211;224.2667;1;4
83;1;1;0.1;0.5;0.1;83;101;0.5665025;221;222.1881;1;0
84;1;1;0.1;0.5;0.1;84;101;0.5670996;222;223.2277;1;0
85;1;1;0.1;0.5;0.1;85;101;0.5666667;223;224.3069;1;0
