;simu;n_obs;mutation_rate;c;K;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;0.1;0.5;250;1;101;0.4642857;62;55.47525;1;0
2;1;1;0.1;0.5;250;2;103;0.4339623;61;55.83495;1;2
3;1;1;0.1;0.5;250;3;101;0.4468085;61;56.32673;1;0
4;1;1;0.1;0.5;250;4;102;0.5087719;51;55.81373;1;1
5;1;1;0.1;0.5;250;5;101;0.5757576;49;55.18812;1;0
6;1;1;0.1;0.5;250;6;101;0.4042553;58;55.37624;1;0
7;1;1;0.1;0.5;250;7;102;0.3902439;72;56.45098;1;1
8;1;1;0.1;0.5;250;8;103;0.5192308;51;54.76699;1;2
9;1;1;0.1;0.5;250;9;101;0.5322581;47;55.67327;1;0
10;1;1;0.1;0.5;250;10;109;0.4489796;60;55.6789;1;8
11;1;1;0.1;0.5;250;11;107;0.4482759;47;56.42991;1;6
12;1;1;0.1;0.5;250;12;102;0.6;64;55.77451;1;1
13;1;1;0.1;0.5;250;13;101;0.5483871;43;56.0198;1;0
14;1;1;0.1;0.5;250;14;102;0.6101695;52;56.44118;1;1
15;1;1;0.1;0.5;250;15;103;0.5471698;63;55.91262;1;2
16;1;1;0.1;0.5;250;16;101;0.54;43;56.57426;1;0
17;1;1;0.1;0.5;250;17;101;0.4310345;53;55.17822;1;0
18;1;1;0.1;0.5;250;18;102;0.5357143;60;56.03922;1;1
19;1;1;0.1;0.5;250;19;101;0.5294118;55;55.89109;1;0
20;1;1;0.1;0.5;250;20;101;0.3773585;52;56.24752;1;0
21;1;1;0.1;0.5;250;21;110;0.484375;62;56.71818;1;9
22;1;1;0.1;0.5;250;22;101;0.6226415;55;55.22772;1;0
23;1;1;0.1;0.5;250;23;103;0.6393443;52;56.14563;1;2
24;1;1;0.1;0.5;250;24;101;0.5116279;65;55.60396;1;0
25;1;1;0.1;0.5;250;25;101;0.5151515;54;55.78218;1;0
26;1;1;0.1;0.5;250;26;102;0.4666667;51;55.81373;1;1
27;1;1;0.1;0.5;250;27;101;0.4202899;68;56.29703;1;0
28;1;1;0.1;0.5;250;28;102;0.5806452;59;56.48039;1;1
29;1;1;0.1;0.5;250;29;101;0.5737705;59;56.78218;1;0
30;1;1;0.1;0.5;250;30;101;0.390625;48;55.74257;1;0
31;1;1;0.1;0.5;250;31;102;0.5;54;55.65686;1;1
32;1;1;0.1;0.5;250;32;101;0.52;55;55.74257;1;0
33;1;1;0.1;0.5;250;33;103;0.4492754;51;55.09709;1;2
34;1;1;0.1;0.5;250;34;101;0.5555556;59;55.76238;1;0
35;1;1;0.1;0.5;250;35;102;0.490566;62;56.02941;1;1
36;1;1;0.1;0.5;250;36;101;0.6097561;71;56.79208;1;0
37;1;1;0.1;0.5;250;37;106;0.3409091;62;55.4717;1;5
38;1;1;0.1;0.5;250;38;101;0.5925926;58;55.90099;1;0
39;1;1;0.1;0.5;250;39;101;0.4545455;51;55.19802;1;0
40;1;1;0.1;0.5;250;40;105;0.3928571;46;55.28571;1;4
41;1;1;0.1;0.5;250;41;102;0.4054054;42;55.9902;1;1
42;1;1;0.1;0.5;250;42;106;0.4716981;53;54.99057;1;5
43;1;1;0.1;0.5;250;43;102;0.4807692;51;56.12745;1;1
44;1;1;0.1;0.5;250;44;101;0.4615385;53;55.21782;1;0
45;1;1;0.1;0.5;250;45;102;0.5106383;52;55.35294;1;1
46;1;1;0.1;0.5;250;46;107;0.4912281;60;55.7757;1;6
47;1;1;0.1;0.5;250;47;101;0.5384615;60;55.41584;1;0
48;1;1;0.1;0.5;250;48;101;0.5245902;56;55.67327;1;0
49;1;1;0.1;0.5;250;49;101;0.4259259;46;54.91089;1;0
50;1;1;0.1;0.5;250;50;101;0.5245902;53;55.94059;1;0
51;1;1;0.1;0.5;250;51;101;0.5272727;51;55.81188;1;0
52;1;1;0.1;0.5;250;52;101;0.490566;54;55.70297;1;0
53;1;1;0.1;0.5;250;53;103;0.6551724;52;56.50485;1;2
54;1;1;0.1;0.5;250;54;102;0.509434;53;55.95098;1;1
55;1;1;0.1;0.5;250;55;102;0.4814815;54;55.84314;1;1
56;1;1;0.1;0.5;250;56;101;0.6;60;55.61386;1;0
57;1;1;0.1;0.5;250;57;101;0.4901961;61;55.69307;1;0
58;1;1;0.1;0.5;250;58;103;0.5074627;62;55.43689;1;2
59;1;1;0.1;0.5;250;59;102;0.4642857;56;56.26471;1;1
60;1;1;0.1;0.5;250;60;102;0.5;52;56.40196;1;1
61;1;1;0.1;0.5;250;61;101;0.4528302;53;55.82178;1;0
62;1;1;0.1;0.5;250;62;105;0.3958333;58;55.27619;1;4
