;simu;n_obs;mutation_rate;c;ageing;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;0.1;0.5;0.1;1;104;0.5;216;224.7404;1;3
2;1;1;0.1;0.5;0.1;2;103;0.520362;227;223.7476;1;2
3;1;1;0.1;0.5;0.1;3;101;0.4690265;237;223.099;1;0
4;1;1;0.1;0.5;0.1;4;101;0.540404;244;223.7228;1;0
5;1;1;0.1;0.5;0.1;5;101;0.53125;232;223.3861;1;0
6;1;1;0.1;0.5;0.1;6;103;0.4471154;229;223.932;1;2
7;1;1;0.1;0.5;0.1;7;101;0.5066079;230;223.0594;1;0
8;1;1;0.1;0.5;0.1;8;102;0.5233645;237;223.049;1;1
9;1;1;0.1;0.5;0.1;9;101;0.5140187;214;222.7327;1;0
10;1;1;0.1;0.5;0.1;10;103;0.5;242;223.2136;1;2
11;1;1;0.1;0.5;0.1;11;102;0.4814815;212;225.5882;1;1
12;1;1;0.1;0.5;0.1;12;102;0.4471154;226;222.1078;1;1
13;1;1;0.1;0.5;0.1;13;109;0.4501992;219;224.4954;1;8
14;1;1;0.1;0.5;0.1;14;102;0.4524887;221;223.4804;1;1
15;1;1;0.1;0.5;0.1;15;102;0.4511628;221;222.4412;1;1
16;1;1;0.1;0.5;0.1;16;103;0.470852;224;222.7476;1;2
17;1;1;0.1;0.5;0.1;17;102;0.5042017;221;222.9706;1;1
18;1;1;0.1;0.5;0.1;18;104;0.4976744;233;225.3942;1;3
19;1;1;0.1;0.5;0.1;19;101;0.5023041;222;222.6238;1;0
20;1;1;0.1;0.5;0.1;20;101;0.5069767;238;221.5644;1;0
21;1;1;0.1;0.5;0.1;21;101;0.5273438;208;223.396;1;0
22;1;1;0.1;0.5;0.1;22;101;0.4821429;223;222.901;1;0
23;1;1;0.1;0.5;0.1;23;102;0.5252101;224;222.0686;1;1
24;1;1;0.1;0.5;0.1;24;104;0.5042735;222;223.2981;1;3
25;1;1;0.1;0.5;0.1;25;101;0.5019455;228;225.3366;1;0
26;1;1;0.1;0.5;0.1;26;102;0.5133929;203;222.9902;1;1
27;1;1;0.1;0.5;0.1;27;102;0.4700461;227;225.9314;1;1
28;1;1;0.1;0.5;0.1;28;101;0.489083;214;222.4356;1;0
29;1;1;0.1;0.5;0.1;29;103;0.4688995;227;224.3689;1;2
30;1;1;0.1;0.5;0.1;30;102;0.4882629;230;225;1;1
31;1;1;0.1;0.5;0.1;31;101;0.5;215;223.2772;1;0
32;1;1;0.1;0.5;0.1;32;102;0.5;212;222.7745;1;1
33;1;1;0.1;0.5;0.1;33;101;0.4660194;229;224.1683;1;0
34;1;1;0.1;0.5;0.1;34;102;0.4588745;207;223.2353;1;1
35;1;1;0.1;0.5;0.1;35;105;0.4803493;212;222.2571;1;4
36;1;1;0.1;0.5;0.1;36;101;0.5406699;219;223.5545;1;0
37;1;1;0.1;0.5;0.1;37;102;0.5633188;210;224.7255;1;1
38;1;1;0.1;0.5;0.1;38;101;0.4732143;214;223.7327;1;0
39;1;1;0.1;0.5;0.1;39;102;0.4843049;244;222.4216;1;1
40;1;1;0.1;0.5;0.1;40;104;0.4485597;235;224.8654;1;3
