;simu;n_obs;mutation_rate;c;ageing;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;0.1;0.5;0.1;1;101;0.46875;228;223.7921;1;0
2;1;1;0.1;0.5;0.1;2;101;0.5196507;224;224.8614;1;0
3;1;1;0.1;0.5;0.1;3;101;0.525641;207;224.0594;1;0
4;1;1;0.1;0.5;0.1;4;101;0.5;251;223.3168;1;0
5;1;1;0.1;0.5;0.1;5;101;0.5336134;226;223.9703;1;0
6;1;1;0.1;0.5;0.1;6;103;0.4937238;214;225.3398;1;2
7;1;1;0.1;0.5;0.1;7;103;0.569378;229;222.1845;1;2
8;1;1;0.1;0.5;0.1;8;102;0.4734513;232;224.6569;1;1
9;1;1;0.1;0.5;0.1;9;101;0.5194805;220;225.1089;1;0
10;1;1;0.1;0.5;0.1;10;102;0.5601852;231;224.2647;1;1
11;1;1;0.1;0.5;0.1;11;101;0.495614;224;223.297;1;0
12;1;1;0.1;0.5;0.1;12;108;0.5110132;228;223.713;1;7
13;1;1;0.1;0.5;0.1;13;102;0.5555556;208;222.0784;1;1
14;1;1;0.1;0.5;0.1;14;106;0.4759825;218;224.1792;1;5
15;1;1;0.1;0.5;0.1;15;101;0.5028902;222;223.3069;1;0
16;1;1;0.1;0.5;0.1;16;101;0.4674797;219;222.9307;1;0
17;1;1;0.1;0.5;0.1;17;102;0.4772727;241;223.5294;1;1
18;1;1;0.1;0.5;0.1;18;101;0.5446429;205;223.7525;1;0
19;1;1;0.1;0.5;0.1;19;103;0.4653061;229;224.932;1;2
20;1;1;0.1;0.5;0.1;20;103;0.4869565;195;221.932;1;2
21;1;1;0.1;0.5;0.1;21;101;0.515625;218;224.5248;1;0
22;1;1;0.1;0.5;0.1;22;102;0.543379;257;223.8922;1;1
23;1;1;0.1;0.5;0.1;23;101;0.5327103;229;222.505;1;0
24;1;1;0.1;0.5;0.1;24;104;0.4633028;237;223.7596;1;3
25;1;1;0.1;0.5;0.1;25;104;0.5275229;245;224.4808;1;3
26;1;1;0.1;0.5;0.1;26;101;0.4635193;224;224.4752;1;0
27;1;1;0.1;0.5;0.1;27;101;0.5049505;219;223.7426;1;0
28;1;1;0.1;0.5;0.1;28;101;0.4848485;231;222.8416;1;0
29;1;1;0.1;0.5;0.1;29;101;0.4562212;217;223.2079;1;0
30;1;1;0.1;0.5;0.1;30;104;0.4628821;221;222.9423;1;3
31;1;1;0.1;0.5;0.1;31;101;0.5088496;207;223.7525;1;0
32;1;1;0.1;0.5;0.1;32;101;0.4391304;214;222.6238;1;0
33;1;1;0.1;0.5;0.1;33;101;0.5333333;215;222.0891;1;0
34;1;1;0.1;0.5;0.1;34;101;0.5065502;227;224.099;1;0
35;1;1;0.1;0.5;0.1;35;104;0.5159817;234;224.7885;1;3
36;1;1;0.1;0.5;0.1;36;101;0.5541126;219;225.2574;1;0
37;1;1;0.1;0.5;0.1;37;101;0.5339806;237;223.6535;1;0
38;1;1;0.1;0.5;0.1;38;103;0.4869565;228;223.4951;1;2
39;1;1;0.1;0.5;0.1;39;103;0.5175879;222;223.3689;1;2
40;1;1;0.1;0.5;0.1;40;102;0.5093458;228;224.0294;1;1
41;1;1;0.1;0.5;0.1;41;103;0.5688889;233;225.068;1;2
42;1;1;0.1;0.5;0.1;42;101;0.4784483;232;223.9307;1;0
43;1;1;0.1;0.5;0.1;43;101;0.4705882;221;221.9901;1;0
44;1;1;0.1;0.5;0.1;44;101;0.5225225;222;224.4059;1;0
45;1;1;0.1;0.5;0.1;45;101;0.5152838;220;224.5644;1;0
46;1;1;0.1;0.5;0.1;46;101;0.49;250;223.8614;1;0
47;1;1;0.1;0.5;0.1;47;101;0.4200913;229;225.1188;1;0
48;1;1;0.1;0.5;0.1;48;103;0.473251;222;222.5922;1;2
49;1;1;0.1;0.5;0.1;49;102;0.5436893;236;223.4902;1;1
50;1;1;0.1;0.5;0.1;50;101;0.5515695;218;222.901;1;0
51;1;1;0.1;0.5;0.1;51;102;0.4646018;220;224.902;1;1
52;1;1;0.1;0.5;0.1;52;101;0.450237;238;223.5248;1;0
53;1;1;0.1;0.5;0.1;53;102;0.5277778;225;223.3824;1;1
54;1;1;0.1;0.5;0.1;54;101;0.4859438;218;224.297;1;0
55;1;1;0.1;0.5;0.1;55;103;0.569378;238;225.2136;1;2
56;1;1;0.1;0.5;0.1;56;102;0.4866071;245;222.9118;1;1
57;1;1;0.1;0.5;0.1;57;103;0.4719626;208;223.3981;1;2
58;1;1;0.1;0.5;0.1;58;101;0.3990826;225;222.8317;1;0
59;1;1;0.1;0.5;0.1;59;101;0.5118483;222;222.4653;1;0
60;1;1;0.1;0.5;0.1;60;102;0.4809524;229;222.6863;1;1
61;1;1;0.1;0.5;0.1;61;102;0.5347826;197;221.9804;1;1
62;1;1;0.1;0.5;0.1;62;102;0.5079365;225;224.4902;1;1
63;1;1;0.1;0.5;0.1;63;101;0.502439;211;223.0099;1;0
64;1;1;0.1;0.5;0.1;64;102;0.4681818;228;225.1667;1;1
65;1;1;0.1;0.5;0.1;65;101;0.5442478;203;223.0891;1;0
66;1;1;0.1;0.5;0.1;66;101;0.5153061;245;224.8515;1;0
67;1;1;0.1;0.5;0.1;67;101;0.5381166;226;221.8416;1;0
68;1;1;0.1;0.5;0.1;68;101;0.507109;224;225.1782;1;0
69;1;1;0.1;0.5;0.1;69;102;0.5585586;225;221.4902;1;1
70;1;1;0.1;0.5;0.1;70;102;0.5227273;243;222.7941;1;1
71;1;1;0.1;0.5;0.1;71;101;0.5066079;220;221.8119;1;0
72;1;1;0.1;0.5;0.1;72;101;0.4579439;241;222.3762;1;0
73;1;1;0.1;0.5;0.1;73;101;0.4423963;234;221.5248;1;0
74;1;1;0.1;0.5;0.1;74;105;0.5301724;236;224.5048;1;4
75;1;1;0.1;0.5;0.1;75;103;0.4896266;241;223.301;1;2
76;1;1;0.1;0.5;0.1;76;105;0.4524887;243;224.6476;1;4
77;1;1;0.1;0.5;0.1;77;103;0.5042373;217;222.9029;1;2
78;1;1;0.1;0.5;0.1;78;101;0.5021645;207;222.1386;1;0
79;1;1;0.1;0.5;0.1;79;102;0.4954545;236;221.7745;1;1
80;1;1;0.1;0.5;0.1;80;101;0.5502392;235;222.8812;1;0
81;1;1;0.1;0.5;0.1;81;104;0.4978166;241;222.8654;1;3
82;1;1;0.1;0.5;0.1;82;102;0.4619048;250;224.5392;1;1
83;1;1;0.1;0.5;0.1;83;101;0.5470085;213;223.703;1;0
84;1;1;0.1;0.5;0.1;84;102;0.5286344;229;225.8529;1;1
85;1;1;0.1;0.5;0.1;85;101;0.4913793;200;224.2574;1;0
86;1;1;0.1;0.5;0.1;86;101;0.5095238;229;222.8911;1;0
87;1;1;0.1;0.5;0.1;87;101;0.5;210;224.802;1;0
88;1;1;0.1;0.5;0.1;88;101;0.5336323;201;223.8713;1;0
89;1;1;0.1;0.5;0.1;89;101;0.507109;229;223.5743;1;0
90;1;1;0.1;0.5;0.1;90;102;0.493617;230;224.6275;1;1
91;1;1;0.1;0.5;0.1;91;103;0.5209302;227;225.2136;1;2
92;1;1;0.1;0.5;0.1;92;101;0.5321888;201;223.2871;1;0
93;1;1;0.1;0.5;0.1;93;101;0.4728033;225;224.3465;1;0
94;1;1;0.1;0.5;0.1;94;103;0.5196507;216;223.8641;1;2
95;1;1;0.1;0.5;0.1;95;101;0.4744186;229;223.901;1;0
96;1;1;0.1;0.5;0.1;96;101;0.495098;250;222.5347;1;0
97;1;1;0.1;0.5;0.1;97;101;0.5;232;221.4158;1;0
98;1;1;0.1;0.5;0.1;98;101;0.5096154;217;224.3465;1;0
99;1;1;0.1;0.5;0.1;99;102;0.4684685;213;223.2745;1;1
100;1;1;0.1;0.5;0.1;100;101;0.4808511;225;223.1782;1;0
101;2;3;0.1;0.5;0.1;1;101;0.4857143;220;223.0693;3;0
102;2;3;0.1;0.5;0.1;2;101;0.4810127;238;224.802;3;0
103;2;3;0.1;0.5;0.1;3;101;0.46875;206;225.1386;3;0
104;2;3;0.1;0.5;0.1;4;101;0.5458937;224;222.6139;3;0
105;2;3;0.1;0.5;0.1;5;101;0.52657;222;226.1782;3;0
106;2;3;0.1;0.5;0.1;6;101;0.5179283;223;223.0297;3;0
107;2;3;0.1;0.5;0.1;7;101;0.4597156;224;220.5446;3;0
108;2;3;0.1;0.5;0.1;8;101;0.5523013;234;222.3168;3;0
109;2;3;0.1;0.5;0.1;9;102;0.5186916;226;224.5392;3;1
110;2;3;0.1;0.5;0.1;10;106;0.5274262;223;223.9906;3;5
111;2;3;0.1;0.5;0.1;11;101;0.526749;242;225.5446;3;0
112;2;3;0.1;0.5;0.1;12;102;0.5271967;218;224.0098;3;1
113;2;3;0.1;0.5;0.1;13;102;0.5555556;213;224.5392;3;1
114;2;3;0.1;0.5;0.1;14;101;0.4816514;230;223.2871;3;0
115;2;3;0.1;0.5;0.1;15;101;0.4454545;238;225.7327;3;0
116;2;3;0.1;0.5;0.1;16;101;0.5021645;218;223.2475;3;0
117;2;3;0.1;0.5;0.1;17;102;0.4377682;221;224.2353;3;1
118;2;3;0.1;0.5;0.1;18;101;0.5533981;225;222.5248;3;0
119;2;3;0.1;0.5;0.1;19;102;0.4744186;235;222.2647;3;1
