;simu;n_obs;mutation_rate;c;ageing;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;0.1;0.5;0.1;1;102;0.512931;223;224.2255;1;1
2;1;1;0.1;0.5;0.1;2;103;0.4604651;227;222.8641;1;2
3;1;1;0.1;0.5;0.1;3;112;0.4257426;217;222.9464;1;11
4;1;1;0.1;0.5;0.1;4;101;0.5;233;224.9406;1;0
5;1;1;0.1;0.5;0.1;5;103;0.5555556;215;223.2718;1;2
6;1;1;0.1;0.5;0.1;6;101;0.6371308;210;222.5347;1;0
7;1;1;0.1;0.5;0.1;7;103;0.5;215;224.1553;1;2
8;1;1;0.1;0.5;0.1;8;114;0.5247934;218;222.6228;1;13
9;1;1;0.1;0.5;0.1;9;119;0.3919598;246;223.7311;1;18
10;1;1;0.1;0.5;0.1;10;101;0.472103;220;222.901;1;0
11;1;1;0.1;0.5;0.1;11;134;0.6113744;222;224.7985;1;33
12;1;1;0.1;0.5;0.1;12;103;0.4549763;245;222.1456;1;2
13;1;1;0.1;0.5;0.1;13;109;0.4151786;222;224.6239;1;8
14;1;1;0.1;0.5;0.1;14;106;0.5781991;220;224.7925;1;5
15;1;1;0.1;0.5;0.1;15;105;0.4471154;221;224.3429;1;4
16;1;1;0.1;0.5;0.1;16;101;0.4059829;235;222.6931;1;0
17;1;1;0.1;0.5;0.1;17;112;0.5022026;209;223.1696;1;11
18;1;1;0.1;0.5;0.1;18;113;0.5391705;221;224;1;12
19;1;1;0.1;0.5;0.1;19;102;0.5844156;207;225.6176;1;1
20;1;1;0.1;0.5;0.1;20;101;0.4297872;200;223.7426;1;0
21;1;1;0.1;0.5;0.1;21;103;0.604878;223;225.2039;1;2
22;1;1;0.1;0.5;0.1;22;101;0.4266055;215;225.1188;1;0
23;1;1;0.1;0.5;0.1;23;102;0.4788732;238;224.6373;1;1
24;1;1;0.1;0.5;0.1;24;101;0.4859438;210;223.9802;1;0
25;1;1;0.1;0.5;0.1;25;103;0.5242291;232;223.3981;1;2
26;1;1;0.1;0.5;0.1;26;102;0.4415584;209;226.2745;1;1
