;simu;n_obs;mutation_rate;c;K;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;0.1;0.5;250;1;110;0.5283019;52;55.9;1;9
2;1;1;0.1;0.5;250;2;102;0.3773585;62;56.51961;1;1
3;1;1;0.1;0.5;250;3;101;0.5;60;56.19802;1;0
4;1;1;0.1;0.5;250;4;101;0.4920635;57;56.21782;1;0
5;1;1;0.1;0.5;250;5;102;0.559322;44;55.91176;1;1
6;1;1;0.1;0.5;250;6;117;0.2413793;53;56.26496;1;16
7;1;1;0.1;0.5;250;7;102;0.5166667;57;55.77451;1;1
8;1;1;0.1;0.5;250;8;105;0.7391304;50;56.04762;1;4
9;1;1;0.1;0.5;250;9;101;0.4603175;51;55.92079;1;0
10;1;1;0.1;0.5;250;10;103;0.3921569;56;55.75728;1;2
11;1;1;0.1;0.5;250;11;103;0.4693878;71;56.50485;1;2
12;1;1;0.1;0.5;250;12;101;0.58;69;56.47525;1;0
13;1;1;0.1;0.5;250;13;101;0.3404255;47;56.24752;1;0
14;1;1;0.1;0.5;250;14;104;0.64;49;56.34615;1;3
15;1;1;0.1;0.5;250;15;101;0.4035088;44;56.48515;1;0
16;1;1;0.1;0.5;250;16;101;0.5576923;54;56.23762;1;0
17;1;1;0.1;0.5;250;17;104;0.75;54;56.14423;1;3
18;1;1;0.1;0.5;250;18;104;0.6181818;56;55.98077;1;3
19;1;1;0.1;0.5;250;19;102;0.6323529;52;55.90196;1;1
20;1;1;0.1;0.5;250;20;105;0.6538462;55;56.4381;1;4
21;1;1;0.1;0.5;250;21;101;0.4745763;52;56.67327;1;0
22;1;1;0.1;0.5;250;22;101;0.5;48;55.82178;1;0
23;1;1;0.1;0.5;250;23;101;0.6071429;59;55.90099;1;0
24;1;1;0.1;0.5;250;24;104;0.5263158;65;55.55769;1;3
25;1;1;0.1;0.5;250;25;101;0.52;54;55.35644;1;0
26;1;1;0.1;0.5;250;26;106;0.4137931;55;56.73585;1;5
27;1;1;0.1;0.5;250;27;101;0.6666667;60;56.79208;1;0
28;1;1;0.1;0.5;250;28;103;0.3888889;58;56.17476;1;2
29;1;1;0.1;0.5;250;29;102;0.5769231;55;56.10784;1;1
30;1;1;0.1;0.5;250;30;102;0.3859649;58;57.02941;1;1
31;1;1;0.1;0.5;250;31;102;0.4615385;49;56.01961;1;1
32;1;1;0.1;0.5;250;32;109;0.7166667;52;56.22936;1;8
33;1;1;0.1;0.5;250;33;113;0.3965517;52;56.76106;1;12
34;1;1;0.1;0.5;250;34;115;0.7377049;54;56.2;1;14
35;1;1;0.1;0.5;250;35;101;0.6290323;56;55.13861;1;0
36;1;1;0.1;0.5;250;36;104;0.4285714;57;55.33654;1;3
37;1;1;0.1;0.5;250;37;102;0.4444444;60;55.83333;1;1
38;1;1;0.1;0.5;250;38;110;0.5789474;58;55.20909;1;9
39;1;1;0.1;0.5;250;39;101;0.4;60;56.84158;1;0
40;1;1;0.1;0.5;250;40;109;0.2678571;60;56.07339;1;8
41;1;1;0.1;0.5;250;41;102;0.5172414;62;56.35294;1;1
42;1;1;0.1;0.5;250;42;103;0.4057971;52;54.75728;1;2
43;1;1;0.1;0.5;250;43;139;0.6119403;56;55.25899;1;38
44;1;1;0.1;0.5;250;44;101;0.5849057;57;56.07921;1;0
45;1;1;0.1;0.5;250;45;113;0.3283582;53;55.90265;1;12
46;1;1;0.1;0.5;250;46;104;0.6666667;53;55.52885;1;3
47;1;1;0.1;0.5;250;47;105;0.6164384;62;56.67619;1;4
48;1;1;0.1;0.5;250;48;101;0.5254237;59;55.62376;1;0
49;1;1;0.1;0.5;250;49;101;0.6470588;53;54.56436;1;0
50;1;1;0.1;0.5;250;50;101;0.2539683;45;55.68317;1;0
51;1;1;0.1;0.5;250;51;101;0.6818182;59;56.18812;1;0
52;1;1;0.1;0.5;250;52;101;0.5957447;62;56.16832;1;0
53;1;1;0.1;0.5;250;53;122;0.4333333;60;56.38525;1;21
54;1;1;0.1;0.5;250;54;116;0.4339623;50;55.98276;1;15
55;1;1;0.1;0.5;250;55;104;0.5443038;44;55.58654;1;3
56;1;1;0.1;0.5;250;56;107;0.625;58;55.76636;1;6
57;1;1;0.1;0.5;250;57;111;0.3684211;52;54.77477;1;10
58;1;1;0.1;0.5;250;58;101;0.490566;52;54.68317;1;0
59;1;1;0.1;0.5;250;59;106;0.5686275;70;55.26415;1;5
60;1;1;0.1;0.5;250;60;105;0.2666667;53;55.70476;1;4
61;1;1;0.1;0.5;250;61;116;0.3846154;49;55.63793;1;15
62;1;1;0.1;0.5;250;62;101;0.5098039;57;56.25743;1;0
63;1;1;0.1;0.5;250;63;101;0.5294118;55;56.45545;1;0
64;1;1;0.1;0.5;250;64;101;0.4827586;71;56.37624;1;0
65;1;1;0.1;0.5;250;65;102;0.5238095;62;55.96078;1;1
66;1;1;0.1;0.5;250;66;153;0.4509804;50;55.16993;1;52
67;1;1;0.1;0.5;250;67;101;0.5283019;71;56.0396;1;0
68;1;1;0.1;0.5;250;68;101;0.4509804;53;55.86139;1;0
