;simu;n_obs;mutation_rate;c;survival;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;0.1;0.5;0.6;1;101;0.5088757;178;174.5644;1;0
2;1;1;0.1;0.5;0.6;2;112;0.5205479;168;176.1786;1;11
3;1;1;0.1;0.5;0.6;3;101;0.5;171;175.297;1;0
4;1;1;0.1;0.5;0.6;4;102;0.5107527;181;174.9118;1;1
5;1;1;0.1;0.5;0.6;5;103;0.460733;182;174.9903;1;2
6;1;1;0.1;0.5;0.6;6;101;0.4545455;172;175.3366;1;0
7;1;1;0.1;0.5;0.6;7;101;0.5154639;174;174.198;1;0
8;1;1;0.1;0.5;0.6;8;103;0.5416667;163;175.5728;1;2
9;1;1;0.1;0.5;0.6;9;102;0.508982;172;175.7745;1;1
10;1;1;0.1;0.5;0.6;10;103;0.5207101;167;175.5825;1;2
11;1;1;0.1;0.5;0.6;11;101;0.4867725;187;175.4455;1;0
12;1;1;0.1;0.5;0.6;12;102;0.5056818;178;174.7647;1;1
13;1;1;0.1;0.5;0.6;13;101;0.4967742;176;175.0396;1;0
14;1;1;0.1;0.5;0.6;14;103;0.4823529;176;174.1165;1;2
15;1;1;0.1;0.5;0.6;15;101;0.5314286;183;175.7624;1;0
16;1;1;0.1;0.5;0.6;16;101;0.5129534;171;176.1287;1;0
17;1;1;0.1;0.5;0.6;17;101;0.4835165;190;175.8911;1;0
18;1;1;0.1;0.5;0.6;18;102;0.4971751;160;175.3922;1;1
19;1;1;0.1;0.5;0.6;19;101;0.5080214;172;172.6436;1;0
20;1;1;0.1;0.5;0.6;20;101;0.489011;185;176.9802;1;0
21;1;1;0.1;0.5;0.6;21;102;0.537234;159;174.8333;1;1
22;1;1;0.1;0.5;0.6;22;101;0.5033113;165;176.9505;1;0
23;1;1;0.1;0.5;0.6;23;101;0.4385965;182;175.3663;1;0
24;1;1;0.1;0.5;0.6;24;101;0.5757576;201;173.6931;1;0
25;1;1;0.1;0.5;0.6;25;102;0.4293478;171;175.6275;1;1
26;1;1;0.1;0.5;0.6;26;101;0.4938272;198;174.3366;1;0
27;1;1;0.1;0.5;0.6;27;102;0.5147929;185;174.6667;1;1
28;1;1;0.1;0.5;0.6;28;103;0.5628415;158;174;1;2
29;1;1;0.1;0.5;0.6;29;102;0.4611111;182;174.8333;1;1
30;1;1;0.1;0.5;0.6;30;102;0.4892473;163;175.1275;1;1
31;1;1;0.1;0.5;0.6;31;104;0.5287356;152;174.9038;1;3
32;1;1;0.1;0.5;0.6;32;101;0.4011976;178;175.6733;1;0
33;1;1;0.1;0.5;0.6;33;105;0.5279503;191;175.6095;1;4
34;1;1;0.1;0.5;0.6;34;102;0.5686275;188;175.5196;1;1
35;1;1;0.1;0.5;0.6;35;101;0.5284091;176;175.8911;1;0
36;1;1;0.1;0.5;0.6;36;105;0.480226;171;176.7905;1;4
37;1;1;0.1;0.5;0.6;37;101;0.484472;181;176.6337;1;0
38;1;1;0.1;0.5;0.6;38;102;0.5815217;149;177.5588;1;1
39;1;1;0.1;0.5;0.6;39;101;0.5714286;179;176.6436;1;0
40;1;1;0.1;0.5;0.6;40;104;0.4705882;179;175.0288;1;3
41;1;1;0.1;0.5;0.6;41;101;0.4308511;178;175.4653;1;0
42;1;1;0.1;0.5;0.6;42;105;0.5;179;174.4381;1;4
43;1;1;0.1;0.5;0.6;43;103;0.5088757;169;177.2718;1;2
44;1;1;0.1;0.5;0.6;44;101;0.5745856;182;175.6634;1;0
45;1;1;0.1;0.5;0.6;45;102;0.4972376;187;176.5294;1;1
46;1;1;0.1;0.5;0.6;46;102;0.5080214;182;173.6078;1;1
47;1;1;0.1;0.5;0.6;47;102;0.5319149;185;174.9706;1;1
48;1;1;0.1;0.5;0.6;48;101;0.4885057;176;175.7228;1;0
49;1;1;0.1;0.5;0.6;49;103;0.5273632;156;177.3981;1;2
50;1;1;0.1;0.5;0.6;50;101;0.4919786;174;177.6733;1;0
51;1;1;0.1;0.5;0.6;51;104;0.4333333;172;176.2212;1;3
52;1;1;0.1;0.5;0.6;52;102;0.5406977;188;174.2059;1;1
53;1;1;0.1;0.5;0.6;53;102;0.5686275;178;174.7647;1;1
54;1;1;0.1;0.5;0.6;54;102;0.4915254;172;175.3137;1;1
55;1;1;0.1;0.5;0.6;55;104;0.5052632;157;174.6731;1;3
56;1;1;0.1;0.5;0.6;56;101;0.5086705;184;176.3663;1;0
57;1;1;0.1;0.5;0.6;57;101;0.5659341;153;174.5248;1;0
58;1;1;0.1;0.5;0.6;58;103;0.4463277;179;175.0388;1;2
59;1;1;0.1;0.5;0.6;59;101;0.4114286;193;173.9208;1;0
60;1;1;0.1;0.5;0.6;60;101;0.5116279;172;174.604;1;0
61;1;1;0.1;0.5;0.6;61;101;0.5;202;176.2574;1;0
62;1;1;0.1;0.5;0.6;62;103;0.4470588;160;175.3107;1;2
63;1;1;0.1;0.5;0.6;63;101;0.5159236;169;173.2178;1;0
64;1;1;0.1;0.5;0.6;64;103;0.4970414;181;175.3592;1;2
65;1;1;0.1;0.5;0.6;65;109;0.5102041;179;175.1651;1;8
66;1;1;0.1;0.5;0.6;66;103;0.5376884;163;176.165;1;2
67;1;1;0.1;0.5;0.6;67;103;0.5081967;173;175.5534;1;2
68;1;1;0.1;0.5;0.6;68;103;0.4853801;165;176.0485;1;2
69;1;1;0.1;0.5;0.6;69;101;0.4705882;177;174.9703;1;0
70;1;1;0.1;0.5;0.6;70;103;0.4395604;177;173.4563;1;2
