;simu;n_obs;mutation_rate;c;survival;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;0.1;0.5;0.6;1;101;0.3869347;164;177.1485;1;0
2;1;1;0.1;0.5;0.6;2;107;0.5823529;168;174.9533;1;6
3;1;1;0.1;0.5;0.6;3;101;0.451087;194;174.7921;1;0
4;1;1;0.1;0.5;0.6;4;111;0.6081871;194;175.0901;1;10
5;1;1;0.1;0.5;0.6;5;101;0.5028249;169;174.7723;1;0
6;1;1;0.1;0.5;0.6;6;113;0.6084337;168;176.2212;1;12
7;1;1;0.1;0.5;0.6;7;101;0.4941176;193;176.6634;1;0
8;1;1;0.1;0.5;0.6;8;101;0.5394737;180;176.297;1;0
9;1;1;0.1;0.5;0.6;9;103;0.4293785;174;175.5825;1;2
10;1;1;0.1;0.5;0.6;10;102;0.5416667;158;175.1667;1;1
11;1;1;0.1;0.5;0.6;11;113;0.6327684;186;175.4425;1;12
12;1;1;0.1;0.5;0.6;12;101;0.6107784;155;177.6238;1;0
13;1;1;0.1;0.5;0.6;13;101;0.4945055;167;173.2574;1;0
14;1;1;0.1;0.5;0.6;14;110;0.4338624;180;177.6636;1;9
15;1;1;0.1;0.5;0.6;15;101;0.5408805;190;175.5842;1;0
16;1;1;0.1;0.5;0.6;16;103;0.3478261;159;174.3981;1;2
17;1;1;0.1;0.5;0.6;17;107;0.3975155;163;176.028;1;6
18;1;1;0.1;0.5;0.6;18;102;0.427027;170;175.8333;1;1
19;1;1;0.1;0.5;0.6;19;105;0.3878788;183;176.3429;1;4
20;1;1;0.1;0.5;0.6;20;105;0.3235294;165;176.6667;1;4
21;1;1;0.1;0.5;0.6;21;107;0.4301676;184;175.8318;1;6
22;1;1;0.1;0.5;0.6;22;131;0.3532609;195;174.5878;1;30
23;1;1;0.1;0.5;0.6;23;101;0.4852071;168;175.2772;1;0
24;1;1;0.1;0.5;0.6;24;101;0.4857143;199;176.6634;1;0
25;1;1;0.1;0.5;0.6;25;101;0.4648649;168;173.7822;1;0
26;1;1;0.1;0.5;0.6;26;101;0.4673913;167;173.9406;1;0
27;1;1;0.1;0.5;0.6;27;101;0.5083799;169;174.3267;1;0
28;1;1;0.1;0.5;0.6;28;101;0.6467066;182;175.9307;1;0
29;1;1;0.1;0.5;0.6;29;102;0.5652174;182;175.1961;1;1
30;1;1;0.1;0.5;0.6;30;103;0.4689266;178;175.2913;1;2
31;1;1;0.1;0.5;0.6;31;102;0.4395604;170;174.9706;1;1
32;1;1;0.1;0.5;0.6;32;107;0.5729167;169;177.4112;1;6
33;1;1;0.1;0.5;0.6;33;101;0.4674556;162;174.5644;1;0
34;1;1;0.1;0.5;0.6;34;101;0.4920635;154;176.1287;1;0
35;1;1;0.1;0.5;0.6;35;101;0.3892216;167;174.8515;1;0
36;1;1;0.1;0.5;0.6;36;105;0.4107143;172;174.3238;1;4
37;1;1;0.1;0.5;0.6;37;103;0.4387755;168;175.6602;1;2
38;1;1;0.1;0.5;0.6;38;101;0.3657143;208;177.3465;1;0
39;1;1;0.1;0.5;0.6;39;102;0.4644809;186;176.6667;1;1
40;1;1;0.1;0.5;0.6;40;101;0.4611111;168;174.4158;1;0
41;1;1;0.1;0.5;0.6;41;102;0.4342857;178;175.451;1;1
42;1;1;0.1;0.5;0.6;42;101;0.5085714;169;174.9505;1;0
43;1;1;0.1;0.5;0.6;43;101;0.5762712;158;175.3762;1;0
44;1;1;0.1;0.5;0.6;44;113;0.6193182;169;175.7168;1;12
45;1;1;0.1;0.5;0.6;45;101;0.5384615;186;174.4554;1;0
46;1;1;0.1;0.5;0.6;46;105;0.4418605;166;176.019;1;4
47;1;1;0.1;0.5;0.6;47;101;0.5202312;163;175.297;1;0
48;1;1;0.1;0.5;0.6;48;107;0.4033149;169;175.3832;1;6
49;1;1;0.1;0.5;0.6;49;101;0.549763;162;174.5248;1;0
50;1;1;0.1;0.5;0.6;50;106;0.4131737;170;176.217;1;5
51;1;1;0.1;0.5;0.6;51;102;0.4285714;151;172.9608;1;1
52;1;1;0.1;0.5;0.6;52;102;0.4269006;184;174.3529;1;1
53;1;1;0.1;0.5;0.6;53;102;0.4840426;178;176.6176;1;1
54;1;1;0.1;0.5;0.6;54;101;0.558011;192;175.4158;1;0
55;1;1;0.1;0.5;0.6;55;101;0.4494382;175;175.2376;1;0
56;1;1;0.1;0.5;0.6;56;101;0.4576271;162;174.6733;1;0
57;1;1;0.1;0.5;0.6;57;101;0.4078947;170;174.9901;1;0
58;1;1;0.1;0.5;0.6;58;103;0.5274725;183;174.8641;1;2
59;1;1;0.1;0.5;0.6;59;104;0.5988701;166;176.7692;1;3
60;1;1;0.1;0.5;0.6;60;104;0.5426829;166;174.4327;1;3
61;1;1;0.1;0.5;0.6;61;102;0.4101124;161;177.4314;1;1
62;1;1;0.1;0.5;0.6;62;101;0.40625;175;176.7525;1;0
63;1;1;0.1;0.5;0.6;63;101;0.4527027;179;173;1;0
64;1;1;0.1;0.5;0.6;64;101;0.5433526;163;175.9208;1;0
