;simu;n_obs;mutation_rate;c;n_steps_removed;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;0.1;0.5;25;1;29;0.5646552;241;226.9655;1;3
2;1;1;0.1;0.5;25;2;27;0.487069;219;223.2222;1;1
3;1;1;0.1;0.5;25;3;26;0.5;186;223.8846;1;0
4;1;1;0.1;0.5;25;4;26;0.4805825;231;223.1923;1;0
5;1;1;0.1;0.5;25;5;27;0.5470852;221;219.5556;1;1
6;1;1;0.1;0.5;25;6;27;0.4954128;203;216.4815;1;1
7;1;1;0.1;0.5;25;7;29;0.4727273;231;220.7931;1;3
8;1;1;0.1;0.5;25;8;27;0.4978166;237;225.1481;1;1
9;1;1;0.1;0.5;25;9;26;0.5124378;208;220.1538;1;0
10;1;1;0.1;0.5;25;10;31;0.4727273;217;226.129;1;5
11;1;1;0.1;0.5;25;11;26;0.4862385;230;223.9231;1;0
12;1;1;0.1;0.5;25;12;27;0.4622642;229;221.2963;1;1
13;1;1;0.1;0.5;25;13;27;0.5325203;195;223.4444;1;1
14;1;1;0.1;0.5;25;14;26;0.4929577;227;224.8077;1;0
15;1;1;0.1;0.5;25;15;26;0.4278846;229;227.1538;1;0
16;1;1;0.1;0.5;25;16;27;0.5;222;223.9259;1;1
17;1;1;0.1;0.5;25;17;27;0.5;217;224.4444;1;1
18;1;1;0.1;0.5;25;18;26;0.5671642;210;224.0385;1;0
19;1;1;0.1;0.5;25;19;26;0.5446009;239;225.8462;1;0
20;1;1;0.1;0.5;25;20;28;0.5209302;208;223.3214;1;2
21;1;1;0.1;0.5;25;21;27;0.4734513;215;222.7778;1;1
22;1;1;0.1;0.5;25;22;26;0.5084034;233;224.5385;1;0
23;1;1;0.1;0.5;25;23;26;0.5089286;221;224.5385;1;0
24;1;1;0.1;0.5;25;24;26;0.4533333;218;226.5385;1;0
25;1;1;0.1;0.5;25;25;32;0.4801762;240;224.1562;1;6
26;1;1;0.1;0.5;25;26;27;0.5023923;231;221.5185;1;1
27;1;1;0.1;0.5;25;27;27;0.4977376;212;225.037;1;1
28;1;1;0.1;0.5;25;28;26;0.4864865;215;222.0385;1;0
