;simu;n_obs;mutation_rate;c;n_steps_removed;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;0.1;0.5;25;1;27;0.4565217;229;229.0741;1;1
2;1;1;0.1;0.5;25;2;27;0.512605;215;225.9259;1;1
3;1;1;0.1;0.5;25;3;29;0.5307018;250;224.2069;1;3
4;1;1;0.1;0.5;25;4;26;0.4955357;241;226.3462;1;0
5;1;1;0.1;0.5;25;5;29;0.4449541;248;225.1034;1;3
6;1;1;0.1;0.5;25;6;27;0.4669811;223;221.1481;1;1
7;1;1;0.1;0.5;25;7;26;0.4827586;230;221.4615;1;0
8;1;1;0.1;0.5;25;8;26;0.4434389;223;223.5;1;0
9;1;1;0.1;0.5;25;9;26;0.5096154;229;223.6538;1;0
10;1;1;0.1;0.5;25;10;26;0.5024631;239;223.0385;1;0
11;1;1;0.1;0.5;25;11;26;0.5491071;219;222.6154;1;0
12;1;1;0.1;0.5;25;12;28;0.5641026;241;221.9286;1;2
13;1;1;0.1;0.5;25;13;26;0.5384615;232;224.0769;1;0
14;1;1;0.1;0.5;25;14;26;0.4608295;214;222.7308;1;0
15;1;1;0.1;0.5;25;15;26;0.5399061;234;225.3077;1;0
16;1;1;0.1;0.5;25;16;26;0.5286344;197;226;1;0
17;1;1;0.1;0.5;25;17;27;0.4493392;219;223.8148;1;1
18;1;1;0.1;0.5;25;18;27;0.4918033;225;225.8889;1;1
19;1;1;0.1;0.5;25;19;26;0.5350877;213;222.5769;1;0
20;1;1;0.1;0.5;25;20;26;0.5362319;222;221.8462;1;0
21;1;1;0.1;0.5;25;21;26;0.4977578;224;221.6923;1;0
22;1;1;0.1;0.5;25;22;27;0.5258216;228;223.8889;1;1
23;1;1;0.1;0.5;25;23;28;0.5;219;224.7143;1;2
24;1;1;0.1;0.5;25;24;26;0.5387931;224;227.3077;1;0
25;1;1;0.1;0.5;25;25;27;0.4646018;224;223.963;1;1
26;1;1;0.1;0.5;25;26;27;0.4728033;205;225.1481;1;1
27;1;1;0.1;0.5;25;27;27;0.4664032;233;224.3333;1;1
28;1;1;0.1;0.5;25;28;26;0.4954128;235;227.5;1;0
29;1;1;0.1;0.5;25;29;26;0.552381;232;223.6923;1;0
30;1;1;0.1;0.5;25;30;27;0.5116279;218;220.5926;1;1
31;1;1;0.1;0.5;25;31;26;0.5044643;216;223.5;1;0
32;1;1;0.1;0.5;25;32;27;0.4285714;220;227.037;1;1
33;1;1;0.1;0.5;25;33;26;0.5240385;244;222.1538;1;0
34;1;1;0.1;0.5;25;34;26;0.4649123;205;226.4231;1;0
35;1;1;0.1;0.5;25;35;26;0.5022624;205;222.0769;1;0
36;1;1;0.1;0.5;25;36;27;0.5021277;213;223.7037;1;1
37;1;1;0.1;0.5;25;37;26;0.4636364;237;221.5769;1;0
38;1;1;0.1;0.5;25;38;26;0.4744186;214;219;1;0
39;1;1;0.1;0.5;25;39;26;0.5044248;233;223.6154;1;0
40;1;1;0.1;0.5;25;40;27;0.562212;220;221.6667;1;1
41;1;1;0.1;0.5;25;41;26;0.4792627;198;220.7308;1;0
42;1;1;0.1;0.5;25;42;26;0.4692982;219;220.5385;1;0
43;1;1;0.1;0.5;25;43;26;0.4618834;209;221.6538;1;0
44;1;1;0.1;0.5;25;44;26;0.4695652;218;226.8462;1;0
45;1;1;0.1;0.5;25;45;26;0.5540541;219;224.7308;1;0
46;1;1;0.1;0.5;25;46;28;0.4684685;264;228.1786;1;2
47;1;1;0.1;0.5;25;47;27;0.4793814;236;220.4815;1;1
48;1;1;0.1;0.5;25;48;27;0.4481328;205;220.4074;1;1
49;1;1;0.1;0.5;25;49;26;0.4562212;228;224.8462;1;0
50;1;1;0.1;0.5;25;50;26;0.4814815;239;224.8462;1;0
51;1;1;0.1;0.5;25;51;26;0.5221675;239;225.5769;1;0
52;1;1;0.1;0.5;25;52;28;0.4698276;209;221.8929;1;2
53;1;1;0.1;0.5;25;53;27;0.5156951;212;219.8889;1;1
54;1;1;0.1;0.5;25;54;28;0.5258621;210;222.3571;1;2
55;1;1;0.1;0.5;25;55;26;0.4810127;216;223.6154;1;0
56;1;1;0.1;0.5;25;56;27;0.5123967;211;221.7778;1;1
57;1;1;0.1;0.5;25;57;26;0.4887892;237;225.0385;1;0
58;1;1;0.1;0.5;25;58;26;0.5111111;229;222.3462;1;0
59;1;1;0.1;0.5;25;59;27;0.5114155;222;224.2593;1;1
60;1;1;0.1;0.5;25;60;26;0.5106383;227;224.1538;1;0
61;1;1;0.1;0.5;25;61;26;0.5118483;225;224.2308;1;0
62;1;1;0.1;0.5;25;62;29;0.5178571;210;223.1724;1;3
63;1;1;0.1;0.5;25;63;26;0.461165;227;224.1154;1;0
64;1;1;0.1;0.5;25;64;28;0.4906542;242;221.1786;1;2
65;1;1;0.1;0.5;25;65;26;0.518018;202;224.5385;1;0
66;1;1;0.1;0.5;25;66;26;0.4784689;208;225.1154;1;0
67;1;1;0.1;0.5;25;67;29;0.5022831;230;225.3103;1;3
68;1;1;0.1;0.5;25;68;26;0.4608696;210;222;1;0
69;1;1;0.1;0.5;25;69;26;0.5091743;242;220.8846;1;0
70;1;1;0.1;0.5;25;70;26;0.4711111;222;221.4615;1;0
71;1;1;0.1;0.5;25;71;26;0.5369458;217;219.1154;1;0
72;1;1;0.1;0.5;25;72;26;0.4814815;223;225.0385;1;0
73;1;1;0.1;0.5;25;73;26;0.5022831;228;223.7308;1;0
74;1;1;0.1;0.5;25;74;28;0.4618834;250;223.2857;1;2
75;1;1;0.1;0.5;25;75;26;0.5282258;226;226.5;1;0
76;1;1;0.1;0.5;25;76;26;0.4748858;199;226.4231;1;0
77;1;1;0.1;0.5;25;77;26;0.5570776;213;220.0385;1;0
78;1;1;0.1;0.5;25;78;26;0.5488372;230;226.6923;1;0
79;1;1;0.1;0.5;25;79;29;0.5488372;228;222.931;1;3
80;1;1;0.1;0.5;25;80;36;0.454955;240;221.9167;1;10
81;1;1;0.1;0.5;25;81;27;0.5841121;251;225.3704;1;1
82;1;1;0.1;0.5;25;82;27;0.5280374;220;225.0741;1;1
83;1;1;0.1;0.5;25;83;26;0.5532995;265;224.9615;1;0
84;1;1;0.1;0.5;25;84;26;0.4724771;207;222.3462;1;0
85;1;1;0.1;0.5;25;85;27;0.4609053;211;223.963;1;1
