;simu;n_obs;mutation_rate;c;n_steps_removed;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration
1;1;1;0.1;0.5;25;1;26;0.4636364;232;224.7692;1;0
2;1;1;0.1;0.5;25;2;26;0.4848485;229;223.4231;1;0
3;1;1;0.1;0.5;25;3;32;0.5943396;232;223.2188;1;6
4;1;1;0.1;0.5;25;4;26;0.4955357;206;223.9615;1;0
5;1;1;0.1;0.5;25;5;27;0.5252525;218;220.1481;1;1
6;1;1;0.1;0.5;25;6;26;0.4188034;213;226.5385;1;0
7;1;1;0.1;0.5;25;7;26;0.4351145;203;224.5;1;0
8;1;1;0.1;0.5;25;8;27;0.5424528;218;226.2222;1;1
9;1;1;0.1;0.5;25;9;26;0.4937238;258;229.2692;1;0
10;1;1;0.1;0.5;25;10;28;0.4145299;209;223.9286;1;2
11;1;1;0.1;0.5;25;11;26;0.4955752;235;224.5769;1;0
12;1;1;0.1;0.5;25;12;26;0.559322;206;223.9231;1;0
13;1;1;0.1;0.5;25;13;26;0.4416667;222;226.1538;1;0
14;1;1;0.1;0.5;25;14;26;0.4600939;230;227.2692;1;0
15;1;1;0.1;0.5;25;15;30;0.4066986;245;227.9;1;4
16;1;1;0.1;0.5;25;16;29;0.4385965;235;221.3793;1;3
17;1;1;0.1;0.5;25;17;34;0.5726872;225;224.2059;1;8
18;1;1;0.1;0.5;25;18;28;0.5369458;225;222.1071;1;2
19;1;1;0.1;0.5;25;19;26;0.4937238;214;222.2308;1;0
20;1;1;0.1;0.5;25;20;33;0.5274262;230;222.697;1;7
21;1;1;0.1;0.5;25;21;26;0.4349776;231;226.0385;1;0
22;1;1;0.1;0.5;25;22;26;0.5127119;232;224.3462;1;0
23;1;1;0.1;0.5;25;23;26;0.5066667;225;227;1;0
24;1;1;0.1;0.5;25;24;31;0.4700461;215;222.9355;1;5
25;1;1;0.1;0.5;25;25;33;0.3387097;236;227.303;1;7
26;1;1;0.1;0.5;25;26;26;0.5066667;253;225.3462;1;0
27;1;1;0.1;0.5;25;27;28;0.5148515;229;223.6786;1;2
28;1;1;0.1;0.5;25;28;30;0.5131579;221;222.8;1;4
29;1;1;0.1;0.5;25;29;27;0.4545455;229;226.7407;1;1
30;1;1;0.1;0.5;25;30;40;0.5833333;234;226.325;1;14
31;1;1;0.1;0.5;25;31;26;0.5601852;207;224.8846;1;0
32;1;1;0.1;0.5;25;32;26;0.4487805;228;220.8462;1;0
33;1;1;0.1;0.5;25;33;28;0.5233645;232;225.9286;1;2
34;1;1;0.1;0.5;25;34;48;0.5060729;219;223.5208;1;22
35;1;1;0.1;0.5;25;35;26;0.5657895;216;222.5769;1;0
36;1;1;0.1;0.5;25;36;26;0.6034483;219;220.9231;1;0
37;1;1;0.1;0.5;25;37;27;0.5728155;212;223.2963;1;1
38;1;1;0.1;0.5;25;38;26;0.4932735;231;225.9615;1;0
39;1;1;0.1;0.5;25;39;31;0.6008772;225;224.4839;1;5
40;1;1;0.1;0.5;25;40;37;0.5866667;222;220.3514;1;11
41;1;1;0.1;0.5;25;41;40;0.4669604;247;225.9;1;14
42;1;1;0.1;0.5;25;42;26;0.5321101;216;224.7692;1;0
43;1;1;0.1;0.5;25;43;26;0.4977376;232;224.2308;1;0
44;1;1;0.1;0.5;25;44;28;0.4453441;212;221.1071;1;2
45;1;1;0.1;0.5;25;45;27;0.5412844;240;224.4815;1;1
46;1;1;0.1;0.5;25;46;34;0.6113744;208;223.5294;1;8
47;1;1;0.1;0.5;25;47;38;0.6081081;238;223.7895;1;12
48;1;1;0.1;0.5;25;48;27;0.4768519;226;222.1481;1;1
49;1;1;0.1;0.5;25;49;27;0.5261044;226;226.3333;1;1
50;1;1;0.1;0.5;25;50;26;0.4821429;208;223.9615;1;0
51;1;1;0.1;0.5;25;51;26;0.44;219;222.0385;1;0
52;1;1;0.1;0.5;25;52;26;0.5431034;224;223.8077;1;0
53;1;1;0.1;0.5;25;53;31;0.3901345;216;222.0968;1;5
54;1;1;0.1;0.5;25;54;26;0.5495495;205;225.8462;1;0
55;1;1;0.1;0.5;25;55;26;0.4072398;222;223.5769;1;0
56;1;1;0.1;0.5;25;56;26;0.5073892;224;222.2308;1;0
57;1;1;0.1;0.5;25;57;34;0.497561;219;223.9706;1;8
